,name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
46,Nolitan Hotel SoHo - New York,187,187,0,7.8,Good,1.0,4.0,0,"SoHo, New York",1.0,1.0,1 large double bed,Deluxe Queen Room,0,0,0,1,1,2025-02-02
47,La Quinta by Wyndham Time Square South,162,162,0,8.5,Very good,1.0,3.0,0,"Hell's Kitchen, New York",1.0,9.3,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-02
48,Hyatt Place New York Chelsea,198,198,0,7.9,Good,1.0,4.0,0,"Chelsea, New York",1.0,1.0,1 extra-large double bed,King Room with Roll-In Shower - Disability Access,0,0,0,1,1,2025-02-02
49,NoMo SoHo,289,289,0,7.7,Good,1.0,4.0,0,"SoHo, New York",1.0,1.0,1 large double bed,Classic Queen,0,0,0,1,1,2025-02-02
50,Ink 48 Hotel,199,184,0,7.5,Good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,2 large double beds,Deluxe Queen Room with Two Queen Beds - Disability Access,0,0,0,1,1,2025-02-02
51,Leon Hotel LES,164,164,0,8.0,Very good,1.0,3.0,0,"Lower East Side, New York",1.0,1.0,1 extra-large double bed,Deluxe King Room,0,0,0,1,1,2025-02-02
52,"The New Yorker, A Wyndham Hotel",169,169,0,7.7,Good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,9.4,1 large double bed,Standard Queen Room,0,0,0,1,1,2025-02-02
53,Courtyard New York Manhattan/Upper East Side,163,163,0,7.5,Good,643.0,3.0,0,"Upper East Side, New York",1.0,1.0,2 large double beds,Queen Room with Two Queen Beds,0,0,0,1,1,2025-02-02
54,Riverside Tower Hotel,129,129,0,8.5,Very good,1.0,2.0,0,"Upper West Side, New York",1.0,1.0,1 double bed,Park View Double,0,0,0,1,1,2025-02-02
55,LUMA Hotel - Times Square,250,250,0,8.9,Fabulous,1.0,4.0,0,"Manhattan, New York",1.0,9.7,2 large double beds,Urban Room With Two Queen Beds,0,0,0,1,1,2025-02-02
56,Fairfield By Marriott New York Manhattan Times Square,174,174,0,8.3,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
57,"Holiday Inn Express - Times Square South, an IHG Hotel",174,174,0,8.2,Very good,1.0,3.0,0,"Manhattan, New York",1.0,9.6,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-02
58,Arlo NoMad,198,198,0,8.4,Very good,1.0,4.0,0,"NoMad, New York",1.0,9.4,2 single beds,Accessible Bunk,0,0,0,1,1,2025-02-02
59,"Club Quarters Hotel World Trade Center, New York",180,180,0,8.3,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 large double bed,Mobility Accessible Standard Room,0,0,0,1,1,2025-02-02
60,Park Central,186,186,0,7.3,Good,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 extra-large double bed,Classic King Room,0,0,0,1,1,2025-02-02
61,Tempo By Hilton New York Times Square,357,357,0,8.5,Very good,848.0,4.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room with Transfer Shower,0,0,0,1,1,2025-02-02
62,Sixty LES,263,263,0,7.7,Good,848.0,4.0,0,"Lower East Side, New York",1.0,1.0,1 large double bed,Queen Studio,0,0,0,1,1,2025-02-02
63,The Blakely by LuxUrban,236,178,0,7.4,Good,1.0,1.0,0,"Manhattan, New York",1.0,9.4,1 large double bed,Queen Room - Non-Smoking,0,0,0,1,1,2025-02-02
64,"Kimpton Hotel Eventi, an IHG Hotel",348,348,0,8.4,Very good,507.0,5.0,0,"Chelsea, New York",1.0,1.0,2 large double beds,Standard Queen Room with Two Queen Beds - Hearing Accessible,0,0,0,1,1,2025-02-02
65,"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",140,140,0,7.6,Good,1.0,4.0,0,"Chelsea, New York",1.0,1.0,1 large double bed,Standard Queen Room with Communications Accessible Roll-In Shower,0,0,0,1,1,2025-02-02
66,Pod 39,140,140,0,8.3,Very good,1.0,3.0,0,"Murray Hill, New York",1.0,9.5,2 single beds,Twin Room,0,0,0,1,1,2025-02-02
67,The FIDI Hotel,179,179,0,8.1,Very good,1.0,4.0,0,"Manhattan, New York",1.0,1.0,1 double bed,Standard Full,0,0,0,1,1,2025-02-02
68,Virgin Hotels New York City,333,333,0,8.3,Very good,1.0,4.0,0,"NoMad, New York",1.0,1.0,1 extra-large double bed,Chamber King ADA,0,0,0,1,1,2025-02-02
69,Residence Inn New York Downtown Manhattan/Financial District,154,154,0,8.2,Very good,712.0,4.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,"Studio, 1 King",0,0,0,1,1,2025-02-02
70,CIVILIAN Hotel,197,188,0,8.6,Fabulous,1.0,4.0,0,"Hell's Kitchen, New York",1.0,9.6,1 large double bed,Double Room,0,0,0,1,1,2025-02-02
71,Hotel AKA NoMad,325,325,0,8.3,Very good,663.0,4.0,0,"NoMad, New York",1.0,9.3,1 large double bed,Double Room,0,0,0,1,1,2025-02-02
72,Hotel 57 by LuxUrban,177,177,0,7.0,Good,1.0,4.0,0,"Midtown East, New York",1.0,1.0,1 double bed,Double Room - Non-Smoking,0,0,0,1,1,2025-02-02
73,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",186,186,0,8.7,Fabulous,1.0,3.0,0,"Midtown East, New York",1.0,9.5,2 double beds,Double Room with Two Double Beds,0,0,0,1,1,2025-02-02
74,Hampton Inn Manhattan-35th St Empire State Bldg,209,209,0,8.2,Very good,1.0,3.0,0,"Manhattan, New York",1.0,9.6,2 double beds,Double Room with Two Double Beds - Non-Smoking,0,0,0,1,1,2025-02-02
75,"Hotel Shocard Broadway, Times Square",119,119,0,7.0,Good,1.0,3.0,0,"Manhattan, New York",1.0,9.3,1 double bed,Standard Double Room,0,0,0,1,1,2025-02-02
76,Cambria Hotel New York - Chelsea,155,155,0,7.9,Good,1.0,4.0,0,"Chelsea, New York",1.0,1.0,1 double bed,King Bed Room,0,0,0,1,1,2025-02-02
77,The Flat NYC,150,150,0,7.9,Good,1.0,3.0,0,"Flatiron District, New York",1.0,9.5,1 large double bed,Queen Room with Shared Bathroom,0,0,0,1,1,2025-02-02
78,Arlo SoHo,153,153,0,8.1,Very good,1.0,4.0,0,"SoHo, New York",1.0,1.0,2 single beds,Urban Twin,0,0,0,1,1,2025-02-02
79,Hard Rock Hotel New York,324,324,0,8.6,Fabulous,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-02
80,Moxy NYC Lower East Side,289,289,0,8.0,Very good,1.0,4.0,0,"Lower East Side, New York",1.0,1.0,1 extra-large double bed,King Room  - No View,0,0,0,1,1,2025-02-02
81,"Hotel 50 Bowery, part of JdV by Hyatt",203,203,0,8.5,Very good,961.0,4.0,0,"Chinatown, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
82,Hampton Inn Manhattan Grand Central,209,209,0,8.0,Very good,1.0,3.0,0,"Midtown East, New York",1.0,1.0,2 double beds,Double Room with Two Double Beds - Non-Smoking,0,0,0,1,1,2025-02-02
83,TRYP by Wyndham New York City Times Square - Midtown,155,155,0,7.4,Good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,Multiple bed types,King Room,0,0,0,1,1,2025-02-02
84,Mint House at 70 Pine,273,273,0,9.2,Superb,979.0,4.0,0,"Manhattan, New York",1.0,1.0,1 large double bed,Queen Room,0,0,0,1,1,2025-02-02
85,"Kimpton Theta New York - Times Square, an IHG Hotel",273,273,0,8.1,Very good,1.0,5.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
86,Homewood Suites Midtown Manhattan Times Square South,188,188,0,8.3,Very good,1.0,3.0,0,"Hell's Kitchen, New York",1.0,1.0,1 extra-large double bed,Efficiency King Studio with Sofa Bed,0,0,0,1,1,2025-02-02
87,Smyth Tribeca,434,358,0,8.3,Very good,751.0,4.0,0,"Tribeca, New York",1.0,9.3,1 large double bed,Superior Queen Room,0,0,0,1,1,2025-02-02
88,"Hotel Indigo Lower East Side New York, an IHG Hotel",239,239,0,7.3,Good,534.0,4.0,0,"Lower East Side, New York",1.0,1.0,1 large double bed,Standard Double Room with View,0,0,0,1,1,2025-02-02
89,citizenM New York Times Square,209,209,0,8.7,Fabulous,1.0,4.0,0,"Manhattan, New York",1.0,9.6,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
90,The Dominick Hotel,578,578,0,8.7,Fabulous,1.0,5.0,0,"SoHo, New York",1.0,9.4,1 extra-large double bed,Hudson Square King Room,0,0,0,1,1,2025-02-02
91,"U Hotel Fifth Avenue, Empire State Building",154,154,0,7.9,Good,1.0,3.0,0,"Manhattan, New York",1.0,9.5,1 large double bed,Queen Room,0,0,0,1,1,2025-02-02
92,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel",106,106,0,7.3,Good,1.0,3.0,0,"Hell's Kitchen, New York",1.0,1.0,1 large double bed,Queen Room with Accessible Roll in Shower - Non-Smoking,0,0,0,1,1,2025-02-02
93,"voco Times Square South New York, an IHG Hotel",197,197,0,8.1,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,1 double bed,Standard Room,0,0,0,1,1,2025-02-02
94,Hyatt Centric Times Square New York,284,284,0,8.4,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
95,Fairfield Inn by Marriott New York Manhattan/Financial District,152,152,0,7.8,Good,1.0,3.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
96,Arthouse Hotel,231,231,0,7.9,Good,1.0,4.0,0,"Upper West Side, New York",1.0,1.0,1.0,Superior Queen,0,0,0,1,1,2025-02-02
97,MOXY NYC Times Square,192,192,0,8.1,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 double bed,Double Room,0,0,0,1,1,2025-02-02
98,Hilton Garden Inn New York/Tribeca,186,186,0,7.5,Good,661.0,3.0,0,"Tribeca, New York",1.0,1.0,1 extra-large double bed,King Room with Roll-In Shower - Mobility Access,0,0,0,1,1,2025-02-02
99,Sonder at The Nash,171,171,0,8.0,Very good,152.0,4.0,0,"Murray Hill, New York",1.0,9.3,1.0,King Studio,0,0,0,1,1,2025-02-02
100,Hotel Belleclaire Central Park,475,355,0,8.1,Very good,1.0,4.0,0,"Upper West Side, New York",1.6,9.3,1 large double bed,Deluxe 1 Queen Bed,0,0,0,1,2,2025-02-02
101,"Holiday Inn Express Manhattan Midtown West, an IHG Hotel",211,211,0,7.3,Good,1.0,3.0,0,"Hell's Kitchen, New York",1.1,1.0,2 double beds,Standard Double Room with Two Double Beds,0,0,0,1,2,2025-02-02
102,Riverside Tower Hotel,257,257,0,8.5,Very good,1.0,2.0,0,"Upper West Side, New York",1.9,1.0,1 double bed,Park View Double,0,0,0,1,2,2025-02-02
103,Aura Hotel Times Square Newly Renovated,374,331,0,7.6,Good,447.0,4.0,0,"Manhattan, New York",1.3,9.3,1 single bed,Standard Full,0,0,0,1,2,2025-02-02
104,Four Points by Sheraton New York Downtown,310,264,0,7.8,Good,1.0,3.0,0,"Manhattan, New York",7.0,1.0,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,2,2025-02-02
105,UNTITLED at 3 Freeman Alley,483,440,0,8.4,Very good,565.0,4.0,0,"Lower East Side, New York",5.2,1.0,1 large double bed,Studio Queen,0,0,0,1,2,2025-02-02
106,Royalton New York,363,363,0,7.5,Good,1.0,4.0,0,"Manhattan, New York",1.4,9.4,1 large double bed,Standard Queen Room,0,0,0,1,2,2025-02-02
107,NH Collection New York Madison Avenue,575,575,0,8.5,Very good,1.0,4.0,0,"Murray Hill, New York",2.0,9.5,1 large double bed,Superior Room,0,0,0,1,2,2025-02-02
108,"The Mayfair Hotel Times Square, Ascend Hotel Collection",282,282,0,8.6,Fabulous,1.0,3.0,0,"Manhattan, New York",0.8,9.6,1 double bed,Deluxe Double Room - Non Smoking,0,0,0,1,2,2025-02-02
109,Radio City Apartments,292,292,0,8.7,Fabulous,1.0,3.0,0,"Manhattan, New York",0.9,9.7,1 large double bed,Queen Studio,0,0,0,1,2,2025-02-02
110,M Social Hotel Times Square New York,464,438,0,8.4,Very good,1.0,4.0,0,"Manhattan, New York",0.6,9.6,2 double beds,Social City View Doubles,0,0,0,1,2,2025-02-02
111,Best Western Premier Empire State Hotel,326,326,0,8.5,Very good,1.0,3.0,0,"NoMad, New York",2.5,9.3,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-02
112,City Club Hotel,238,238,0,7.3,Good,1.0,4.0,0,"Manhattan, New York",1.4,1.0,1 single bed,Double Bed Room,0,0,0,1,2,2025-02-02
113,Hudson Yards Hotel,230,230,0,6.0,Review score,205.0,3.0,0,"Hell's Kitchen, New York",1.5,1.0,1 large double bed,Superior Queen Room,0,0,0,1,2,2025-02-02
114,Doubletree By Hilton New York Times Square West,315,315,0,6.8,Review score,1.0,4.0,0,"Hell's Kitchen, New York",1.6,1.0,1 extra-large double bed,Standard King Room,0,0,0,1,2,2025-02-02
115,Wingate by Wyndham New York Midtown South/5th Ave,310,310,0,8.4,Very good,1.0,3.0,0,"Manhattan, New York",1.9,9.5,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,2,2025-02-02
116,Hotel St. James,219,219,0,8.1,Very good,1.0,2.0,0,"Manhattan, New York",1.2,9.7,1 large double bed,One Queen Bed Room,0,0,0,1,2,2025-02-02
117,Chambers powered by Sonder,473,473,0,8.1,Very good,685.0,4.0,0,"Manhattan, New York",0.8,9.6,1 large double bed,Queen Room - Disability Access,0,0,0,1,2,2025-02-02
118,Riu Plaza New York Times Square,554,419,0,8.5,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,9.5,1 extra-large double bed,Deluxe King Room,0,0,0,1,2,2025-02-02
119,"The Cloud One New York-Downtown, by the Motel One Group",326,326,0,8.6,Fabulous,1.0,4.0,0,"Manhattan, New York",7.0,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,2,2025-02-02
120,West Side YMCA,256,216,0,6.6,Review score,1.0,3.0,0,"Upper West Side, New York",1.0,9.4,1 bunk bed,Bunk Bed Room with Shared Bathroom,0,0,0,1,2,2025-02-02
121,Hampton Inn by Hilton New York Times Square,374,374,0,7.8,Good,1.0,3.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-02
122,"Holiday Inn Lower East Side, an IHG Hotel",246,246,0,7.9,Good,1.0,4.0,0,"Lower East Side, New York",5.6,1.0,1 extra-large double bed,Premium King Room,0,0,0,1,2,2025-02-02
123,Best Western Premier Herald Square,259,259,0,7.8,Good,675.0,3.0,0,"Manhattan, New York",2.0,1.0,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,2,2025-02-02
124,The Washington by LuxUrban,336,336,0,7.7,Good,1.0,4.0,0,"Manhattan, New York",7.1,9.4,1 single bed,Room Assigned on Arrival,0,0,0,1,2,2025-02-02
125,The Manhattan Club,443,443,0,8.2,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.6,Private suite,Executive Junior Suite,0,0,0,1,2,2025-02-02
126,"33 Hotel, New York City, Seaport",716,716,0,8.8,Fabulous,671.0,5.0,0,"Manhattan, New York",6.9,9.3,1 extra-large double bed,Superior Courtyard King,0,0,0,1,2,2025-02-02
127,Henn na Hotel New York,372,372,0,8.6,Fabulous,1.0,4.0,0,"Manhattan, New York",1.9,9.5,2 double beds,Deluxe Double Room,0,0,0,1,2,2025-02-02
128,The Belvedere Hotel,284,257,0,7.9,Good,1.0,3.0,0,"Hell's Kitchen, New York",0.9,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,2,2025-02-02
129,"Holiday Inn New York City - Times Square, an IHG Hotel",344,344,0,7.8,Good,1.0,3.0,0,"Hell's Kitchen, New York",1.6,1.0,1 double bed,Standard Room,0,0,0,1,2,2025-02-02
130,Hotel Stanford,412,351,0,7.9,Good,136.0,3.0,0,"Manhattan, New York",2.3,9.4,1 double bed,Budget Double Room,0,0,0,1,2,2025-02-02
131,The Herald by LuxUrban,441,335,0,7.7,Good,1.0,3.0,0,"Manhattan, New York",2.0,9.6,1 extra-large double bed,King Room with Roll-in Shower - Mobility Access/Non-Smoking,0,0,0,1,2,2025-02-02
132,Romer Hell's Kitchen,475,475,0,8.6,Fabulous,1.0,4.0,0,"Hell's Kitchen, New York",0.6,9.5,2 large double beds,Queen Room with Two Queen Beds,0,0,0,1,2,2025-02-02
133,Comfort Inn Manhattan - Midtown West,259,259,0,7.0,Good,1.0,3.0,0,"Hell's Kitchen, New York",1.1,1.0,1 large double bed,Queen Room - Non-Smoking,0,0,0,1,2,2025-02-02
134,Element Times Square West,298,298,0,8.1,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.6,1.0,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,2,2025-02-02
135,The Gregorian New York City,448,448,0,8.3,Very good,1.0,4.0,0,"Manhattan, New York",2.1,9.4,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-02
136,Radio Hotel,177,177,0,7.7,Good,1.0,4.0,0,"Washington Heights, New York",9.8,1.0,1.0,Standard Studio,0,0,0,1,2,2025-02-02
137,Courtyard New York Downtown Manhattan/Financial District,292,292,0,7.7,Good,1.0,3.0,0,"Manhattan, New York",7.1,1.0,1 extra-large double bed,"Guest room, 1 King, City view",0,0,0,1,2,2025-02-02
138,Aliz Hotel Times Square,428,360,0,8.0,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.6,1.0,1 extra-large double bed,Standard King Guest Room,0,0,0,1,2,2025-02-02
139,Hotel Mimosa,221,221,0,8.3,Very good,1.0,3.0,0,"Chinatown, New York",6.1,1.0,1 large double bed,Queen Room,0,0,0,1,2,2025-02-02
140,citizenM New York Bowery,452,452,0,8.7,Fabulous,1.0,4.0,0,"Lower East Side, New York",5.4,1.0,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-02
141,Pod Times Square,269,269,0,8.2,Very good,1.0,3.0,0,"Hell's Kitchen, New York",1.4,9.4,2 single beds,Bunk Pod,0,0,0,1,2,2025-02-02
142,"The New Yorker, A Wyndham Hotel",312,312,0,7.7,Good,1.0,4.0,0,"Hell's Kitchen, New York",2.0,9.4,1 large double bed,Standard Queen Room with View,0,0,0,1,2,2025-02-02
143,Hotel Hayden New York,317,317,0,7.1,Good,1.0,4.0,0,"Chelsea, New York",2.5,1.0,1 extra-large double bed,Superior King Room,0,0,0,1,2,2025-02-02
