,name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
0,Iroquois New York Times Square,292,218,0,8.5,Very good,1.0,5.0,0,"Manhattan, New York",1.0,9.7,1 large double bed,Superior 1 Queen Bed,0,0,0,1,1,2025-02-02
1,Four Points by Sheraton New York Downtown,130,111,0,7.8,Good,1.0,3.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,1,2025-02-02
2,"The Mayfair Hotel Times Square, Ascend Hotel Collection",141,141,0,8.6,Fabulous,1.0,3.0,0,"Manhattan, New York",1.0,9.6,1 double bed,Deluxe Double Room - Non Smoking,0,0,0,1,1,2025-02-02
3,The Washington by LuxUrban,160,160,0,7.7,Good,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 single bed,Room Assigned on Arrival,0,0,0,1,1,2025-02-02
4,Hampton Inn by Hilton New York Times Square,152,152,0,7.8,Good,1.0,3.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Bed with City View,0,0,0,1,1,2025-02-02
5,Hotel St. James,130,130,0,8.1,Very good,1.0,2.0,0,"Manhattan, New York",1.0,9.7,1 double bed,One Full Bed Room,0,0,0,1,1,2025-02-02
6,Doubletree By Hilton New York Times Square West,152,152,0,6.8,Review score,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-02
7,Wingate by Wyndham New York Midtown South/5th Ave,144,144,0,8.4,Very good,1.0,3.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-02
8,La Quinta by Wyndham New York City Central Park,149,149,0,6.6,Review score,1.0,3.0,0,"Upper West Side, New York",1.0,1.0,1 large double bed,Queen Room - Non-Smoking,0,0,0,1,1,2025-02-02
9,"The Cloud One New York-Downtown, by the Motel One Group",163,163,0,8.6,Fabulous,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-02
10,The Chelsean New York,140,120,0,7.0,Good,1.0,3.0,0,"Chelsea, New York",1.0,1.0,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,1,2025-02-02
11,UNTITLED at 3 Freeman Alley,242,242,0,8.4,Very good,565.0,4.0,0,"Lower East Side, New York",1.0,1.0,1 large double bed,Studio Queen,0,0,0,1,1,2025-02-02
12,Best Western Premier Herald Square,130,130,0,7.8,Good,675.0,3.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-02
13,Courtyard New York Downtown Manhattan/Financial District,129,129,0,7.7,Good,1.0,3.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,"Guest room, 1 King, City view",0,0,0,1,1,2025-02-02
14,citizenM New York Bowery,209,209,0,8.7,Fabulous,1.0,4.0,0,"Lower East Side, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
15,Delta Hotels by Marriott New York Times Square,158,158,0,7.8,Good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
16,The Belvedere Hotel,142,128,0,7.9,Good,1.0,3.0,0,"Hell's Kitchen, New York",1.0,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-02
17,The Gregorian New York City,207,207,0,8.3,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 double bed,Double Room,0,0,0,1,1,2025-02-02
18,Pod Times Square,129,129,0,8.2,Very good,1.0,3.0,0,"Hell's Kitchen, New York",1.0,9.4,2 single beds,Bunk Pod,0,0,0,1,1,2025-02-02
19,SoHo 54,140,140,0,7.6,Good,1.0,3.0,0,"SoHo, New York",1.0,1.0,1 extra-large double bed,TriBeCa King,0,0,0,1,1,2025-02-02
20,The Gotham Hotel,282,282,0,8.5,Very good,1.0,4.0,0,"Midtown East, New York",1.0,9.5,1 extra-large double bed,Midtown Balcony King,0,0,0,1,1,2025-02-02
21,Hotel Hayden New York,171,171,0,7.1,Good,1.0,4.0,0,"Chelsea, New York",1.0,1.0,1 extra-large double bed,Superior King Room,0,0,0,1,1,2025-02-02
22,Sheraton Tribeca New York Hotel,158,158,0,7.9,Good,1.0,4.0,0,"Tribeca, New York",1.0,1.0,2 double beds,Double Room with 2 Double Beds,0,0,0,1,1,2025-02-02
23,The Herald by LuxUrban,236,178,0,7.7,Good,1.0,3.0,0,"Manhattan, New York",1.0,9.6,2 double beds,Double Room with Parade View - Non-Smoking,0,0,0,1,1,2025-02-02
24,Romer Hell's Kitchen,232,232,0,8.6,Fabulous,1.0,4.0,0,"Hell's Kitchen, New York",1.0,9.5,2 large double beds,Queen Room with Two Queen Beds,0,0,0,1,1,2025-02-02
25,Hyatt Place New York/Midtown-South,174,174,0,8.3,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
26,DoubleTree by Hilton Hotel New York City - Chelsea,152,152,0,7.1,Good,1.0,4.0,0,"Chelsea, New York",1.0,1.0,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-02
27,The Ridge,135,135,0,7.5,Good,1.0,3.0,0,"Lower East Side, New York",1.0,1.0,2 single beds,Standard Twin Room,0,0,0,1,1,2025-02-02
28,"Hotel Indigo NYC Financial District, an IHG Hotel",209,209,0,8.8,Fabulous,1.0,3.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-02
29,Executive Hotel Le Soleil New York,246,246,0,8.6,Fabulous,1.0,4.0,0,"Manhattan, New York",1.0,9.5,1 large double bed,Executive Queen Room with View of the Empire State Building,0,0,0,1,1,2025-02-02
30,Riu Plaza New York Times Square,292,220,0,8.5,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,9.5,1 extra-large double bed,Deluxe King Room,0,0,0,1,1,2025-02-02
31,Hilton Garden Inn West 35th Street,208,208,0,8.2,Very good,1.0,3.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
32,Freehand New York,166,166,0,8.0,Very good,1.0,4.0,0,"Gramercy, New York",1.0,1.0,1 large double bed,Cozy Queen,0,0,0,1,1,2025-02-02
33,Eurostars Wall Street,121,121,0,7.9,Good,1.0,4.0,0,"Manhattan, New York",1.0,1.0,1 large double bed,Queen Room,0,0,0,1,1,2025-02-02
34,Hilton Garden Inn New York/Midtown Park Avenue,164,164,0,8.1,Very good,1.0,3.0,0,"Manhattan, New York",1.0,9.3,1 extra-large double bed,King Bed with City View,0,0,0,1,1,2025-02-02
35,Moderne Hotel,174,174,0,8.1,Very good,1.0,4.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,Deluxe Room,0,0,0,1,1,2025-02-02
36,DoubleTree by Hilton New York Downtown,163,163,0,7.5,Good,1.0,4.0,0,"Manhattan, New York",1.0,1.0,1 double bed,Double Room with Roll in Shower - Hearing Accessible,0,0,0,1,1,2025-02-02
37,Hotel Edison Times Square,220,169,0,7.7,Good,1.0,4.0,0,"Manhattan, New York",1.0,9.4,1 extra-large double bed,Classic 1 King Bed,0,0,0,1,1,2025-02-02
38,Hyatt House New York/Chelsea,217,217,0,8.4,Very good,1.0,3.0,0,"Chelsea, New York",1.0,9.5,1 extra-large double bed,Den King Room,0,0,0,1,1,2025-02-02
39,Artezen Hotel,209,209,0,9.2,Superb,1.0,4.0,0,"Manhattan, New York",1.0,9.6,1 extra-large double bed,Deluxe King Room,0,0,0,1,1,2025-02-02
40,Hotel Belleclaire Central Park,238,177,0,8.1,Very good,1.0,4.0,0,"Upper West Side, New York",1.0,9.3,1 large double bed,Deluxe 1 Queen Bed,0,0,0,1,1,2025-02-02
41,Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,199,199,0,7.9,Good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,9.5,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-02
42,NH Collection New York Madison Avenue,275,275,0,8.5,Very good,1.0,4.0,0,"Murray Hill, New York",1.0,9.5,1 large double bed,Superior Room,0,0,0,1,1,2025-02-02
43,Hotel Richland LES,84,84,0,8.2,Very good,1.0,3.0,0,"Chinatown, New York",1.0,1.0,1.0,Double Room,0,0,0,1,1,2025-02-02
44,"Holiday Inn Express - Wall Street, an IHG Hotel",186,186,0,7.8,Good,1.0,3.0,0,"Manhattan, New York",1.0,1.0,1 extra-large double bed,Standard Room,0,0,0,1,1,2025-02-02
45,DoubleTree by Hilton New York Times Square South,178,178,0,8.2,Very good,1.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,2 large double beds,Queen Room with Two Queen Beds,0,0,0,1,1,2025-02-02
