,name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
0,UNTITLED at 3 Freeman Alley,242,242,0,8.4,Very good,566.0,4.0,0,"Lower East Side, New York",5.2,2.7,1 large double bed,Studio Queen,0,0,0,1,1,2025-02-04
1,Aura Hotel Times Square Newly Renovated,187,166,0,7.6,Good,450.0,4.0,0,"Manhattan, New York",1.3,9.3,1 single bed,Standard Full,0,0,0,1,1,2025-02-04
2,Riu Plaza Manhattan Times Square,401,299,0,8.6,Fabulous,2.7,4.0,0,"Manhattan, New York",1.0,9.6,1 extra-large double bed,Deluxe King,0,0,0,1,1,2025-02-04
3,Sonder at One Platt,273,273,0,8.1,Very good,2.7,4.0,0,"Manhattan, New York",7.0,2.7,2.7,Deluxe One-Bedroom Apartment,0,0,0,1,1,2025-02-04
4,Tempo By Hilton New York Times Square,306,306,0,8.5,Very good,851.0,4.0,0,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
5,"The New Yorker, A Wyndham Hotel",169,169,0,7.7,Good,2.7,4.0,0,"Hell's Kitchen, New York",2.0,9.4,1 large double bed,Standard Queen Room,0,0,0,1,1,2025-02-04
6,NH Collection New York Madison Avenue,329,329,0,8.4,Very good,2.7,4.0,0,"Murray Hill, New York",2.0,9.5,1 large double bed,Superior Room,0,0,0,1,1,2025-02-04
7,Pod Times Square,129,129,0,8.2,Very good,2.7,3.0,0,"Hell's Kitchen, New York",1.4,9.4,2 single beds,Bunk Pod,0,0,0,1,1,2025-02-04
8,SpringHill Suites by Marriott New York Manhattan Chelsea,301,301,0,8.3,Very good,2.7,4.0,0,"Chelsea, New York",2.5,9.4,2.7,Studio King Room,0,0,0,1,1,2025-02-04
9,Hotel 57 by LuxUrban,241,181,0,7.0,Good,2.7,4.0,0,"Midtown East, New York",1.3,2.7,1 double bed,Double Room - Non-Smoking,0,0,0,1,1,2025-02-04
10,Arlo Midtown,233,233,0,8.6,Fabulous,2.7,4.0,0,"Hell's Kitchen, New York",1.7,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
11,Residence Inn by Marriott New York Manhattan/Times Square,463,463,0,8.1,Very good,2.7,4.0,0,"Manhattan, New York",1.7,9.6,"2 beds (1 sofa bed, 1 large double)",Queen Studio with Sofa Bed,0,0,0,1,1,2025-02-04
