,name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
12,Hyatt Centric Times Square New York,324,324,0,8.4,Very good,2.7,4.0,0,"Manhattan, New York",1.2,9.5,1 extra-large double bed,King Room with Accessible Shower - Disability Access,0,0,0,1,1,2025-02-04
13,Fairfield Inn by Marriott New York Manhattan/Financial District,163,163,0,7.8,Good,2.7,3.0,0,"Manhattan, New York",7.2,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
14,Renaissance New York Times Square by Marriott,376,376,0,8.4,Very good,2.7,4.0,0,"Manhattan, New York",1.0,9.6,2 double beds,Room with Two Double Beds - City View,0,0,0,1,1,2025-02-04
15,Element Times Square West,149,149,0,8.1,Very good,2.7,4.0,0,"Hell's Kitchen, New York",1.6,2.7,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,1,2025-02-04
16,LUMA Hotel - Times Square,319,319,0,8.9,Fabulous,2.7,4.0,0,"Manhattan, New York",1.5,9.7,1 extra-large double bed,Park Plaza King Studio with Sofa Bed,0,0,0,1,1,2025-02-04
17,Hotel Edison Times Square,181,181,0,7.7,Good,2.7,4.0,0,"Manhattan, New York",1.0,9.4,1 large double bed,Classic 1 Queen Bed,0,0,0,1,1,2025-02-04
18,New York Marriott Marquis,553,553,0,8.3,Very good,2.7,5.0,0,"Manhattan, New York",1.1,9.5,2 double beds,Deluxe Double Room with Two Double Beds,0,0,0,1,1,2025-02-04
19,"Holiday Inn Express - Times Square South, an IHG Hotel",197,197,0,8.1,Very good,2.7,3.0,0,"Manhattan, New York",2.0,9.5,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-04
20,citizenM New York Times Square,266,266,0,8.7,Fabulous,2.7,4.0,0,"Manhattan, New York",0.8,9.6,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
21,Doubletree By Hilton New York Times Square West,163,163,0,6.8,Review score,2.7,4.0,0,"Hell's Kitchen, New York",1.6,2.7,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-04
22,Sonder Battery Park,215,215,0,8.5,Very good,2.7,3.0,0,"Manhattan, New York",7.5,2.7,2.7,Superior Studio,0,0,0,1,1,2025-02-04
23,Homewood Suites Midtown Manhattan Times Square South,229,229,0,8.3,Very good,2.7,3.0,0,"Hell's Kitchen, New York",1.8,2.7,1 extra-large double bed,Premium King Studio - Non-Smoking,0,0,0,1,1,2025-02-04
24,Hilton Club The Central at 5th New York,647,647,0,9.0,Superb,802.0,3.0,0,"Midtown East, New York",1.3,9.8,1 extra-large double bed,King Studio Plus,0,0,0,1,1,2025-02-04
25,The Belvedere Hotel,154,139,0,7.9,Good,2.7,3.0,0,"Hell's Kitchen, New York",0.9,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-04
26,Riu Plaza New York Times Square,321,242,0,8.5,Very good,2.7,4.0,0,"Hell's Kitchen, New York",1.0,9.5,2 double beds,Deluxe Double Room with Two Double Beds,0,0,0,1,1,2025-02-04
27,Cambria Hotel New York - Chelsea,174,174,0,7.9,Good,2.7,4.0,0,"Chelsea, New York",2.5,2.7,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-04
28,Four Points by Sheraton New York Downtown,232,232,0,7.8,Good,2.7,3.0,0,"Manhattan, New York",7.0,2.7,2 double beds,"Guest room, 2 Double",0,0,0,1,1,2025-02-04
29,"Holiday Inn Express - Wall Street, an IHG Hotel",174,174,0,7.8,Good,2.7,3.0,0,"Manhattan, New York",7.3,2.7,1 extra-large double bed,Standard Room,0,0,0,1,1,2025-02-04
30,"Hotel Indigo NYC Financial District, an IHG Hotel",197,197,0,8.9,Fabulous,2.7,3.0,0,"Manhattan, New York",7.2,9.5,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-04
31,Moderne Hotel,181,181,0,8.1,Very good,2.7,4.0,0,"Manhattan, New York",2.7,9.5,1 extra-large double bed,Deluxe Room,0,0,0,1,1,2025-02-04
32,DoubleTree by Hilton New York Downtown,174,174,0,7.5,Good,2.7,4.0,0,"Manhattan, New York",7.6,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
33,Millennium Downtown New York,238,238,0,7.1,Good,2.7,4.0,0,"Manhattan, New York",6.8,2.7,1 extra-large double bed,Superior King Room,0,0,0,1,1,2025-02-04
34,The Ridge,150,150,0,7.6,Good,2.7,3.0,0,"Lower East Side, New York",5.1,2.7,1 double bed,Standard Double Room,0,0,0,1,1,2025-02-04
35,Hyatt Place New York City - Times Square,194,194,0,7.8,Good,2.7,4.0,0,"Hell's Kitchen, New York",1.7,2.7,2 double beds,Double Room with Two Double Beds - High Floor,0,0,0,1,1,2025-02-04
36,Fairfield Inn & Suites New York Manhattan/Downtown East,152,152,0,8.2,Very good,2.7,3.0,0,"Chinatown, New York",6.2,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
37,Hilton Garden Inn New York Times Square South,212,212,0,8.2,Very good,2.7,3.0,0,"Hell's Kitchen, New York",1.8,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
38,NoMo SoHo,289,289,0,7.7,Good,2.7,4.0,0,"SoHo, New York",5.6,2.7,1 large double bed,Nomo Urban Queen,0,0,0,1,1,2025-02-04
39,Pod 39,140,140,0,8.3,Very good,2.7,3.0,0,"Murray Hill, New York",2.1,9.5,2 single beds,Twin Room,0,0,0,1,1,2025-02-04
40,The Blakely by LuxUrban,255,192,0,7.4,Good,2.7,2.7,0,"Manhattan, New York",0.5,9.4,1 large double bed,Queen Room - Non-Smoking,0,0,0,1,1,2025-02-04
41,Ink 48 Hotel,208,193,0,7.5,Good,2.7,4.0,0,"Hell's Kitchen, New York",1.2,2.7,2 large double beds,Deluxe Queen Room with Two Queen Beds - Disability Access,0,0,0,1,1,2025-02-04
42,Sonder at The Nash,171,171,0,8.0,Very good,152.0,4.0,0,"Murray Hill, New York",2.3,9.3,2.7,King Studio,0,0,0,1,1,2025-02-04
43,Freehand New York,210,210,0,8.0,Very good,2.7,4.0,0,"Gramercy, New York",3.1,2.7,"2 beds (1 bunk bed, 1 large double)",Three's Company,0,0,0,1,1,2025-02-04
44,Leon Hotel LES,164,164,0,8.0,Very good,2.7,3.0,0,"Lower East Side, New York",5.9,2.7,1 extra-large double bed,Deluxe King Room,0,0,0,1,1,2025-02-04
45,Park Central,209,209,0,7.3,Good,2.7,4.0,0,"Manhattan, New York",2.7,9.4,1 extra-large double bed,Classic King Room,0,0,0,1,1,2025-02-04
46,"voco Times Square South New York, an IHG Hotel",169,169,0,8.1,Very good,2.7,4.0,0,"Hell's Kitchen, New York",1.8,2.7,1 double bed,Standard Room with Full Bed and Tub - Mobility Accessible,0,0,0,1,1,2025-02-04
47,Sanctuary Hotel New York,230,211,0,8.2,Very good,2.7,4.0,0,"Manhattan, New York",1.1,9.7,1 double bed,Cozy Queen,0,0,0,1,1,2025-02-04
48,CIVILIAN Hotel,209,199,0,8.6,Fabulous,2.7,4.0,0,"Hell's Kitchen, New York",0.9,9.6,1 large double bed,Double Room,0,0,0,1,1,2025-02-04
49,The FIDI Hotel,179,179,0,8.1,Very good,2.7,4.0,0,"Manhattan, New York",7.6,2.7,1 large double bed,Standard Queen,0,0,0,1,1,2025-02-04
50,Heritage Hotel New York City,154,154,0,7.4,Good,2.7,3.0,0,"Flatiron District, New York",2.8,9.4,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-04
51,The Knickerbocker,433,433,0,8.6,Fabulous,2.7,5.0,0,"Manhattan, New York",1.4,9.5,1 extra-large double bed,Superior Room with One King Bed,0,0,0,1,1,2025-02-04
52,Courtyard New York Downtown Manhattan/Financial District,174,174,0,7.7,Good,2.7,3.0,0,"Manhattan, New York",7.1,2.7,1 extra-large double bed,"Guest room, 1 King, City view",0,0,0,1,1,2025-02-04
53,Millennium Premier New York Times Square,180,180,0,7.4,Good,2.7,4.0,0,"Manhattan, New York",1.2,9.3,1 large double bed,Premier Queen Room,0,0,0,1,1,2025-02-04
54,Lex Hotel NYC,173,173,0,8.2,Very good,2.7,3.0,0,"Kips Bay, New York",3.0,2.7,1 large double bed,Cozy Queen Room,0,0,0,1,1,2025-02-04
55,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",187,187,0,8.7,Fabulous,2.7,3.0,0,"Midtown East, New York",1.5,9.5,1 double bed,One Double Room with Garden View,0,0,0,1,1,2025-02-04
56,Hotel Belleclaire Central Park,219,219,0,8.1,Very good,2.7,4.0,0,"Upper West Side, New York",1.6,9.3,1 large double bed,Deluxe 1 Queen Bed,0,0,0,1,1,2025-02-04
57,"Hotel Shocard Broadway, Times Square",119,119,0,7.0,Good,2.7,3.0,0,"Manhattan, New York",1.5,9.3,1 double bed,Standard Double Room,0,0,0,1,1,2025-02-04
58,The Manhattan at Times Square,129,129,0,5.5,Review score,2.7,4.0,0,"Manhattan, New York",0.7,2.7,2.7,Standard Room,0,0,0,1,1,2025-02-04
59,Archer Hotel New York,405,405,0,8.8,Fabulous,2.7,4.0,0,"Manhattan, New York",1.8,9.5,1 extra-large double bed,Classic King Mobility- and Hearing-Accessible Guest Room With Tub,0,0,0,1,1,2025-02-04
60,Life Hotel New York,185,185,0,8.0,Very good,802.0,4.0,0,"NoMad, New York",2.4,9.4,1 double bed,Classic Queen Room,0,0,0,1,1,2025-02-04
61,The Allen Hotel,173,173,0,7.9,Good,2.7,4.0,0,"Lower East Side, New York",5.6,2.7,2 double beds,Deluxe Double Room,0,0,0,1,1,2025-02-04
62,"Club Quarters Hotel World Trade Center, New York",203,203,0,8.3,Very good,2.7,4.0,0,"Manhattan, New York",7.0,9.4,1 large double bed,Small Queen Room,0,0,0,1,1,2025-02-04
63,The Flat NYC,144,144,0,7.9,Good,2.7,3.0,0,"Flatiron District, New York",2.9,9.5,2 bunk beds,Double Room with Shared Bathroom,0,0,0,1,1,2025-02-04
64,"EVEN Hotel New York - Times Square South, an IHG Hotel",208,208,0,8.4,Very good,539.0,4.0,0,"Hell's Kitchen, New York",1.9,2.7,1 extra-large double bed,Superior King Room,0,0,0,1,1,2025-02-04
65,"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",152,152,0,7.6,Good,2.7,4.0,0,"Chelsea, New York",2.7,2.7,1 large double bed,Standard Queen Room with Communications Accessible Roll-In Shower,0,0,0,1,1,2025-02-04
66,Madison LES Hotel,125,125,0,7.3,Good,2.7,3.0,0,"Lower East Side, New York",6.3,2.7,2 double beds,Standard Double Room with Two Double Beds,0,0,0,1,1,2025-02-04
67,Motto By Hilton New York City Times Square,198,198,0,8.0,Very good,2.7,3.0,0,"Manhattan, New York",1.0,9.4,1 large double bed,Queen Room with Roll In Shower - Mobile/Hearing Access,0,0,0,1,1,2025-02-04
68,Hotel Lucerne,197,197,0,8.5,Very good,2.7,4.0,0,"Upper West Side, New York",1.7,9.5,1 large double bed,Deluxe Queen Room,0,0,0,1,1,2025-02-04
69,New York Hilton Midtown,301,301,0,7.4,Good,2.7,3.0,0,"Manhattan, New York",0.7,9.4,1 large double bed,Urban 1 Queen Bed,0,0,0,1,1,2025-02-04
70,AC Hotel by Marriott New York Downtown,232,232,0,8.4,Very good,2.7,4.0,0,"Manhattan, New York",7.2,2.7,2 double beds,Double Room with Two Double Beds - Non-Smoking,0,0,0,1,1,2025-02-04
71,DoubleTree by Hilton New York Times Square South,240,240,0,8.2,Very good,2.7,4.0,0,"Hell's Kitchen, New York",1.8,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
72,Hyatt Centric Wall Street New York,236,236,0,8.1,Very good,804.0,4.0,0,"Manhattan, New York",7.3,2.7,2 double beds,Double Room with Two Double Beds and Accessible Shower - Disability Access,0,0,0,1,1,2025-02-04
73,Hudson Yards Hotel,152,122,0,6.0,Review score,205.0,3.0,0,"Hell's Kitchen, New York",1.5,2.7,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-02-04
74,Pod 51,129,129,0,7.9,Good,2.7,3.0,0,"Midtown East, New York",1.7,9.3,2 single beds,Standard Bunk Bed Room with Shared Bathroom,0,0,0,1,1,2025-02-04
75,Hampton Inn Manhattan-35th St Empire State Bldg,255,255,0,8.2,Very good,2.7,3.0,0,"Manhattan, New York",2.0,9.6,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-04
76,Hilton New York Times Square,289,289,0,7.2,Good,2.7,4.0,0,"Manhattan, New York",1.4,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
77,TRYP by Wyndham New York City Times Square - Midtown,167,167,0,7.4,Good,2.7,4.0,0,"Hell's Kitchen, New York",1.9,2.7,Multiple bed types,King Room,0,0,0,1,1,2025-02-04
78,Da Vinci Hotel,89,89,0,7.4,Good,2.7,3.0,0,"Manhattan, New York",2.7,9.4,1 large double bed,Standard Queen Room,0,0,0,1,1,2025-02-04
79,"Dream Midtown, by Hyatt",216,180,0,7.7,Good,2.7,4.0,0,"Manhattan, New York",2.7,9.3,1 large double bed,Queen Room with Roll In Shower - Accessible,0,0,0,1,1,2025-02-04
80,Carnegie Hotel,249,249,0,8.6,Fabulous,2.7,4.0,0,"Manhattan, New York",2.7,9.6,1 large double bed,Superior Queen Room,0,0,0,1,1,2025-02-04
81,Hampton Inn by Hilton New York Times Square,347,347,0,7.8,Good,2.7,3.0,0,"Manhattan, New York",1.0,9.5,2 double beds,Double Room with Two Double Beds and Water View,0,0,0,1,1,2025-02-04
82,Hotel Elysee by Library Hotel Collection,311,311,0,8.6,Fabulous,377.0,4.0,0,"Midtown East, New York",1.2,9.6,1 extra-large double bed,Deluxe King Room,0,0,0,1,1,2025-02-04
83,Hyatt Grand Central New York,250,250,0,7.3,Good,2.7,4.0,0,"Midtown East, New York",1.9,2.7,1 large double bed,Queen Room,0,0,0,1,1,2025-02-04
84,Hampton Inn Manhattan Grand Central,278,278,0,8.0,Very good,2.7,3.0,0,"Midtown East, New York",2.1,2.7,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-04
85,Hampton Inn Times Square Central,186,186,0,8.3,Very good,2.7,3.0,0,"Manhattan, New York",1.5,9.5,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-04
86,Fairfield By Marriott New York Manhattan Times Square,226,226,0,8.3,Very good,2.7,4.0,0,"Hell's Kitchen, New York",1.6,2.7,1 extra-large double bed,King Room with View,0,0,0,1,1,2025-02-04
87,Virgin Hotels New York City,460,460,0,8.3,Very good,2.7,4.0,0,"NoMad, New York",2.5,2.7,1 extra-large double bed,Chamber King,0,0,0,1,1,2025-02-04
88,Warwick New York,272,272,0,8.2,Very good,2.7,4.0,0,"Manhattan, New York",0.7,9.6,1 extra-large double bed,Premier City View King Bed,0,0,0,1,1,2025-02-04
89,Renaissance New York Harlem Hotel,180,180,0,7.9,Good,2.7,3.0,0,"Harlem, New York",5.4,2.7,1 extra-large double bed,King Room,0,0,0,1,1,2025-02-04
90,"Staypineapple, An Artful Hotel, Midtown New York",176,176,0,8.6,Fabulous,2.7,4.0,0,"Hell's Kitchen, New York",1.8,2.7,1 extra-large double bed,Celebrity King,0,0,0,1,1,2025-02-04
91,"Holiday Inn Express New York City Chelsea, an IHG Hotel",215,215,0,7.8,Good,2.7,3.0,0,"Chelsea, New York",2.4,2.7,1 extra-large double bed,Standard King Room with Mobility Accessible Tub,0,0,0,1,1,2025-02-04
92,Hilton Garden Inn NYC Financial Center/Manhattan Downtown,186,186,0,8.3,Very good,2.7,3.0,0,"Manhattan, New York",7.7,2.7,1 extra-large double bed,King Bed with City View,0,0,0,1,1,2025-02-04
93,DoubleTree by Hilton New York Midtown Fifth Ave,266,266,0,7.6,Good,2.7,4.0,0,"Manhattan, New York",1.0,9.4,1 large double bed,Queen Room,0,0,0,1,1,2025-02-04
94,DoubleTree by Hilton Hotel New York City - Chelsea,232,232,0,7.1,Good,2.7,4.0,0,"Chelsea, New York",2.5,2.7,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,1,2025-02-04
95,Shoreham Hotel,209,180,0,7.3,Good,2.7,4.0,0,"Manhattan, New York",0.8,9.4,1 large double bed,Standard Queen Room,0,0,0,1,1,2025-02-04
96,Sixty LES,333,333,0,7.7,Good,848.0,4.0,0,"Lower East Side, New York",5.2,2.7,1 large double bed,Queen Studio,0,0,0,1,1,2025-02-04
97,Hilton Garden Inn New York - Times Square Central,197,197,0,7.7,Good,2.7,3.0,0,"Manhattan, New York",1.5,9.3,1 large double bed,Queen Room,0,0,0,1,1,2025-02-04
98,Hampton Inn Manhattan/Downtown- Financial District,174,174,0,7.8,Good,643.0,3.0,0,"Manhattan, New York",7.7,2.7,1 large double bed,Queen Room,0,0,0,1,1,2025-02-04
99,Arlo NoMad,260,260,0,8.4,Very good,2.7,4.0,0,"NoMad, New York",2.4,9.4,2 single beds,Bunk Room,0,0,0,1,1,2025-02-04
100,Royalton New York,397,397,0,7.5,Good,2.7,4.0,0,"Manhattan, New York",2.7,9.4,1 large double bed,Standard Queen Room,0,0,0,1,2,2025-02-04
101,UNTITLED at 3 Freeman Alley,483,440,0,8.4,Very good,566.0,4.0,0,"Lower East Side, New York",2.7,2.7,1 large double bed,Studio Queen,0,0,0,1,2,2025-02-04
102,Aura Hotel Times Square Newly Renovated,374,331,0,7.6,Good,450.0,4.0,0,"Manhattan, New York",2.7,9.3,1 single bed,Standard Full,0,0,0,1,2,2025-02-04
103,Riu Plaza Manhattan Times Square,765,571,0,8.6,Fabulous,2.7,4.0,0,"Manhattan, New York",2.7,9.6,1 extra-large double bed,Deluxe King,0,0,0,1,2,2025-02-04
104,"33 Hotel, New York City, Seaport",751,751,0,8.8,Fabulous,671.0,5.0,0,"Manhattan, New York",2.7,9.3,1 extra-large double bed,Superior Courtyard King,0,0,0,1,2,2025-02-04
105,Tempo By Hilton New York Times Square,613,613,0,8.5,Very good,851.0,4.0,0,"Manhattan, New York",2.7,9.5,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
106,"The New Yorker, A Wyndham Hotel",312,312,0,7.7,Good,2.7,4.0,0,"Hell's Kitchen, New York",2.7,9.4,1 large double bed,Standard Queen Room with View,0,0,0,1,2,2025-02-04
107,NH Collection New York Madison Avenue,619,619,0,8.4,Very good,2.7,4.0,0,"Murray Hill, New York",2.7,9.5,1 large double bed,Superior Room,0,0,0,1,2,2025-02-04
108,Pod Times Square,269,269,0,8.2,Very good,2.7,3.0,0,"Hell's Kitchen, New York",2.7,9.4,2 single beds,Bunk Pod,0,0,0,1,2,2025-02-04
109,Hotel 57 by LuxUrban,488,368,0,7.0,Good,2.7,4.0,0,"Midtown East, New York",2.7,2.7,1 double bed,Double Room - Non-Smoking,0,0,0,1,2,2025-02-04
110,Arlo Midtown,425,425,0,8.6,Fabulous,2.7,4.0,0,"Hell's Kitchen, New York",2.7,2.7,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
111,Residence Inn by Marriott New York Manhattan/Times Square,858,858,0,8.1,Very good,2.7,4.0,0,"Manhattan, New York",2.7,9.6,2.7,King Studio with Sofa Bed,0,0,0,1,2,2025-02-04
112,Hyatt Centric Times Square New York,607,607,0,8.4,Very good,2.7,4.0,0,"Manhattan, New York",2.7,9.5,1 extra-large double bed,King Room with Accessible Shower - Disability Access,0,0,0,1,2,2025-02-04
113,Fairfield Inn by Marriott New York Manhattan/Financial District,337,337,0,7.8,Good,2.7,3.0,0,"Manhattan, New York",2.7,2.7,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
114,Renaissance New York Times Square by Marriott,672,672,0,8.4,Very good,2.7,4.0,0,"Manhattan, New York",2.7,9.6,2 double beds,Room with Two Double Beds - City View,0,0,0,1,2,2025-02-04
115,Element Times Square West,298,298,0,8.1,Very good,2.7,4.0,0,"Hell's Kitchen, New York",2.7,2.7,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,2,2025-02-04
116,LUMA Hotel - Times Square,604,604,0,8.9,Fabulous,2.7,4.0,0,"Manhattan, New York",2.7,9.7,2 extra-large double beds,URBAN Two King Beds ADA Hearing/Visual,0,0,0,1,2,2025-02-04
117,Sanctuary NYC Retreats,349,349,0,8.7,Fabulous,917.0,4.0,0,"Lower East Side, New York",2.7,2.7,2.7,Queen Studio,0,0,0,1,2,2025-02-04
118,Hotel Edison Times Square,390,390,0,7.7,Good,2.7,4.0,0,"Manhattan, New York",2.7,9.4,1 large double bed,Signature 1 Queen Bed,0,0,0,1,2,2025-02-04
119,New York Marriott Marquis,1083,1083,0,8.3,Very good,2.7,5.0,0,"Manhattan, New York",2.7,9.5,2 double beds,Deluxe Double Room with Two Double Beds,0,0,0,1,2,2025-02-04
120,citizenM New York Times Square,533,533,0,8.7,Fabulous,2.7,4.0,0,"Manhattan, New York",2.7,9.6,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
121,Doubletree By Hilton New York Times Square West,326,326,0,6.8,Review score,2.7,4.0,0,"Hell's Kitchen, New York",2.7,2.7,1 extra-large double bed,Standard King Room,0,0,0,1,2,2025-02-04
122,Sonder Battery Park,368,368,0,8.5,Very good,2.7,3.0,0,"Manhattan, New York",2.7,2.7,2.7,Superior Studio,0,0,0,1,2,2025-02-04
123,Homewood Suites Midtown Manhattan Times Square South,470,470,0,8.3,Very good,2.7,3.0,0,"Hell's Kitchen, New York",2.7,2.7,1 extra-large double bed,Premium King Studio - Non-Smoking,0,0,0,1,2,2025-02-04
124,Hilton Club The Central at 5th New York,1235,1235,0,9.0,Superb,802.0,3.0,0,"Midtown East, New York",2.7,9.8,1 extra-large double bed,King Studio Plus,0,0,0,1,2,2025-02-04
125,Millennium Downtown New York,452,452,0,7.1,Good,2.7,4.0,0,"Manhattan, New York",2.7,2.7,1 extra-large double bed,Superior King Room,0,0,0,1,2,2025-02-04
126,Radio Hotel,176,176,0,7.7,Good,2.7,4.0,0,"Washington Heights, New York",2.7,2.7,2.7,Standard Studio,0,0,0,1,2,2025-02-04
127,Hyatt Place New York City - Times Square,381,381,0,7.8,Good,2.7,4.0,0,"Hell's Kitchen, New York",2.7,2.7,1 extra-large double bed,King Room - High Floor,0,0,0,1,2,2025-02-04
128,Moderne Hotel,363,363,0,8.1,Very good,2.7,4.0,0,"Manhattan, New York",2.7,9.5,1 extra-large double bed,Deluxe Room,0,0,0,1,2,2025-02-04
129,Hotel Hayden New York,330,330,0,7.1,Good,2.7,4.0,0,"Chelsea, New York",2.7,2.7,1 extra-large double bed,Superior King Room,0,0,0,1,2,2025-02-04
130,Hilton Garden Inn West 35th Street,428,428,0,8.2,Very good,2.7,3.0,0,"Manhattan, New York",2.7,9.5,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
131,SoHo 54,315,315,0,7.6,Good,2.7,3.0,0,"SoHo, New York",2.7,2.7,1 extra-large double bed,TriBeCa King,0,0,0,1,2,2025-02-04
132,Executive Hotel Le Soleil New York,503,503,0,8.7,Fabulous,2.7,4.0,0,"Manhattan, New York",2.7,9.5,1 large double bed,Executive Queen Room,0,0,0,1,2,2025-02-04
133,The Belvedere Hotel,307,307,0,7.9,Good,2.7,3.0,0,"Hell's Kitchen, New York",2.7,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,2,2025-02-04
134,The Knickerbocker,831,831,0,8.6,Fabulous,2.7,5.0,0,"Manhattan, New York",2.7,9.5,1 extra-large double bed,Superior Room with One King Bed,0,0,0,1,2,2025-02-04
135,The Gregorian New York City,505,505,0,8.3,Very good,2.7,4.0,0,"Manhattan, New York",2.7,9.4,1 double bed,Double Room,0,0,0,1,2,2025-02-04
136,CIVILIAN Hotel,418,397,0,8.6,Fabulous,2.7,4.0,0,"Hell's Kitchen, New York",2.7,9.6,1 large double bed,Double Room,0,0,0,1,2,2025-02-04
137,"Holiday Inn Express New York City Chelsea, an IHG Hotel",395,329,0,7.8,Good,2.7,3.0,0,"Chelsea, New York",2.7,2.7,1 extra-large double bed,Standard King Room,0,0,0,1,2,2025-02-04
138,"U Hotel Fifth Avenue, Empire State Building",303,303,0,7.9,Good,2.7,3.0,0,"Manhattan, New York",2.7,9.5,1 double bed,Double Room,0,0,0,1,2,2025-02-04
139,DoubleTree by Hilton New York Downtown,337,337,0,7.5,Good,2.7,4.0,0,"Manhattan, New York",2.7,2.7,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
140,DoubleTree by Hilton Hotel New York City - Chelsea,366,366,0,7.1,Good,2.7,4.0,0,"Chelsea, New York",2.7,2.7,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,2,2025-02-04
141,Ink 48 Hotel,417,385,0,7.5,Good,2.7,4.0,0,"Hell's Kitchen, New York",2.7,2.7,1 extra-large double bed,King Room,0,0,0,1,2,2025-02-04
142,Eurostars Wall Street,268,268,0,7.9,Good,2.7,4.0,0,"Manhattan, New York",2.7,2.7,1 large double bed,Queen Room,0,0,0,1,2,2025-02-04
143,Heritage Hotel New York City,283,283,0,7.4,Good,2.7,3.0,0,"Flatiron District, New York",2.7,9.4,1 extra-large double bed,King Room - Non-Smoking,0,0,0,1,2,2025-02-04
