name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Holiday Inn Wall Street by IHG,215,156,True,7.3,Good,"1,090",3.0,False,"Manhattan, New York",7.0,,1 extra-large double bed,King Room,False,False,True,1,1,2025-03-09
Roxy Hotel New York,507,461,True,8.6,Fabulous,"1,151",4.0,False,"Tribeca, New York",5.8,9.3,1 extra-large double bed,Deluxe King Room,False,False,True,1,1,2025-03-09
"The Mayfair Hotel Times Square, Ascend Hotel Collection",157,157,False,8.6,Fabulous,"2,066",3.0,False,"Manhattan, New York",,9.6,1 double bed,Deluxe Double Room - Non Smoking,False,False,True,1,1,2025-03-09
The Belvedere Hotel,154,139,True,7.9,Good,"5,893",3.0,False,"Hell's Kitchen, New York",,9.4,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-03-09
Delta Hotels by Marriott New York Times Square,174,174,False,7.8,Good,"3,685",4.0,False,"Hell's Kitchen, New York",,,2 double beds,Double Room with Two Double Beds,False,False,True,1,1,2025-03-09
Fairfield Inn by Marriott New York Manhattan/Financial District,140,140,False,7.8,Good,"3,648",3.0,False,"Manhattan, New York",7.2,,1 extra-large double bed,King Room,True,False,True,1,1,2025-03-09
"U Hotel Fifth Avenue, Empire State Building",152,152,False,7.9,Good,"3,396",3.0,False,"Manhattan, New York",2.1,9.5,1 double bed,Double Room,False,False,True,1,1,2025-03-09
"The Cloud One New York-Downtown, by the Motel One Group",197,197,False,8.6,Fabulous,"6,519",4.0,False,"Manhattan, New York",7.0,9.4,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-03-09
UNTITLED at 3 Freeman Alley,243,243,False,8.5,Very good,591,4.0,False,"Lower East Side, New York",5.2,,1 large double bed,Studio Queen,True,False,True,1,1,2025-03-09
DoubleTree by Hilton New York Times Square South,219,219,False,8.2,Very good,"6,507",4.0,False,"Hell's Kitchen, New York",,,1 extra-large double bed,King Room,False,True,False,1,1,2025-03-09
Riverside Tower Hotel,152,152,False,8.5,Very good,"2,497",2.0,False,"Upper West Side, New York",1.9,,1 double bed,Park View Double,False,False,True,1,1,2025-03-09
Doubletree By Hilton New York Times Square West,197,197,False,6.8,Review score,"10,996",4.0,False,"Hell's Kitchen, New York",,,1 extra-large double bed,King Bed with City View,False,False,True,1,1,2025-03-09
The Manhattan at Times Square,137,137,False,5.5,Review score,"7,619",4.0,False,"Manhattan, New York",,,,Standard Room,False,False,True,1,1,2025-03-09
M Social Hotel Times Square New York,358,358,False,8.4,Very good,"11,942",4.0,False,"Manhattan, New York",,9.6,1 extra-large double bed,Social City View King,False,False,True,1,1,2025-03-09
Four Points by Sheraton New York Downtown,203,203,False,7.9,Good,"2,036",3.0,False,"Manhattan, New York",7.0,,1 extra-large double bed,"Guest Room, 1 King",False,True,False,1,1,2025-03-09
Millennium Hotel Broadway Times Square,266,243,True,7.4,Good,"7,873",4.0,False,"Manhattan, New York",,9.4,1 large double bed,Queen Room with Bath Tub - Hearing/Mobility Accessible,False,False,True,1,1,2025-03-09
citizenM New York Bowery,232,232,False,8.7,Fabulous,"3,290",4.0,False,"Lower East Side, New York",5.4,,1 extra-large double bed,King Room,False,False,True,1,1,2025-03-09
"The New Yorker, A Wyndham Hotel",192,192,False,7.7,Good,"15,579",4.0,False,"Hell's Kitchen, New York",,9.4,1 large double bed,Standard Queen Room,False,False,True,1,1,2025-03-09
The Washington by LuxUrban,219,219,False,7.7,Good,"9,617",4.0,False,"Manhattan, New York",7.1,9.3,1 extra-large double bed,King Room - Non-Smoking,False,False,True,1,1,2025-03-09
Holiday Inn Express - Wall Street by IHG,226,164,True,7.9,Good,"1,878",3.0,False,"Manhattan, New York",7.3,,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-03-09
Hyatt Place New York Chelsea,216,216,False,7.9,Good,"18,300",4.0,False,"Chelsea, New York",2.8,,2 double beds,Double Room with Two Double Beds,True,False,True,1,1,2025-03-09
Artezen Hotel,182,182,False,9.2,Superb,"1,317",4.0,False,"Manhattan, New York",6.9,9.6,1 double bed,Deluxe Queen Room,False,False,True,1,1,2025-03-09
Riu Plaza Manhattan Times Square,387,265,True,8.6,Fabulous,"13,236",4.0,False,"Manhattan, New York",,9.6,1 extra-large double bed,Deluxe King,False,False,True,1,1,2025-03-09
The Chelsean New York,186,156,True,7.0,Good,"2,891",3.0,False,"Chelsea, New York",2.8,,2 double beds,Double Room - Disability Access,False,False,True,1,1,2025-03-09
Motto by Hilton New York City Chelsea,267,267,False,8.5,Very good,"3,178",4.0,False,"Chelsea, New York",2.8,9.4,1 extra-large double bed,King Room - Hearing Access,False,False,True,1,1,2025-03-09
TRYP by Wyndham New York City Times Square - Midtown,150,150,False,7.4,Good,"2,696",4.0,False,"Hell's Kitchen, New York",,,,King Room with Bath Tub - Mobility Accessible,False,False,True,1,1,2025-03-09
"Club Quarters Hotel World Trade Center, New York",192,192,False,8.3,Very good,"4,121",4.0,False,"Manhattan, New York",7.0,9.4,1 large double bed,Mobility Accessible Standard Room,False,False,True,1,1,2025-03-09
Hotel Indigo NYC Financial District by IHG,197,197,False,8.9,Fabulous,"1,606",3.0,False,"Manhattan, New York",7.2,9.5,1 extra-large double bed,Standard King Room,False,True,False,1,1,2025-03-09
Radio Hotel,104,104,False,7.7,Good,"1,744",4.0,False,"Washington Heights, New York",9.8,,,Standard Studio,False,False,True,1,1,2025-03-09
Tempo By Hilton New York Times Square,382,382,False,8.6,Fabulous,881,4.0,False,"Manhattan, New York",,9.4,1 extra-large double bed,King Bed with City View,False,False,True,1,1,2025-03-09
Hilton Garden Inn New York Times Square South,266,266,False,8.2,Very good,"3,956",3.0,False,"Hell's Kitchen, New York",,,1 extra-large double bed,King Room - Hearing Access,False,True,False,1,1,2025-03-09
Holiday Inn Express - Times Square by IHG,232,179,True,6.9,Review score,"2,224",3.0,False,"Hell's Kitchen, New York",,,1 extra-large double bed,Standard Room,True,False,True,1,1,2025-03-09
Hilton Garden Inn West 35th Street,255,255,False,8.2,Very good,"3,067",3.0,False,"Manhattan, New York",2.0,9.5,1 extra-large double bed,King Room with Bath Tub - Mobility Access - Non-Smoking,False,False,True,1,1,2025-03-09
Hotel Edison Times Square,227,227,False,7.7,Good,"13,152",4.0,False,"Manhattan, New York",,9.4,1 large double bed,Signature 1 Queen Bed,True,False,True,1,1,2025-03-09
Pod Times Square,186,186,False,8.3,Very good,"23,141",3.0,False,"Hell's Kitchen, New York",,9.4,2 single beds,Bunk Pod,False,False,True,1,1,2025-03-09
Arthouse Hotel,311,232,True,8.0,Very good,"2,238",4.0,False,"Upper West Side, New York",1.6,,,Superior King Room,False,False,True,1,1,2025-03-09
Royalton New York,223,223,False,7.5,Good,"3,113",4.0,False,"Manhattan, New York",,9.4,1 large double bed,Standard Queen Room,False,False,True,1,1,2025-03-09
Aura Hotel Times Square Newly Renovated,301,301,False,7.7,Good,506,4.0,False,"Manhattan, New York",,9.4,1 double bed,Deluxe Double Room,False,False,True,1,1,2025-03-09
The Herald by LuxUrban,323,243,True,7.8,Good,"9,202",3.0,False,"Manhattan, New York",2.0,9.6,1 extra-large double bed,King Room with Roll-in Shower - Mobility Access/Non-Smoking,False,False,True,1,1,2025-03-09
Fairfield By Marriott New York Manhattan Times Square,232,232,False,8.3,Very good,"5,717",4.0,False,"Hell's Kitchen, New York",,,1 extra-large double bed,King Room,True,False,True,1,1,2025-03-09
Riu Plaza New York Times Square,413,307,True,8.6,Fabulous,"7,184",4.0,False,"Hell's Kitchen, New York",,9.5,1 extra-large double bed,Deluxe King Room,True,False,True,1,1,2025-03-09
Leon Hotel LES,181,181,False,8.1,Very good,"2,570",3.0,False,"Chinatown, New York",5.9,,,Studio with Two Double Beds,False,False,True,1,1,2025-03-09
Candlewood Suites NYC -Times Square by IHG,228,177,True,8.1,Very good,"2,062",3.0,False,"Hell's Kitchen, New York",,,Private suite,Studio Queen Suite - City View,False,False,True,1,1,2025-03-09
Hampton Inn Manhattan-35th St Empire State Bldg,248,248,False,8.3,Very good,"6,626",3.0,False,"Manhattan, New York",2.0,9.6,1 extra-large double bed,King Room - Non-Smoking,True,False,True,1,1,2025-03-09
NH Collection New York Madison Avenue,434,434,False,8.5,Very good,"1,945",4.0,False,"Murray Hill, New York",2.0,9.5,Beds: 1 double or 2 singles,Premium Double or Twin Room,False,False,True,1,1,2025-03-09
Moxy NYC Chelsea,266,266,False,8.3,Very good,"3,064",4.0,False,"Chelsea, New York",2.5,9.3,2 double beds,Two Double Beds Room,False,False,True,1,1,2025-03-09
Hyatt House New York/Chelsea,257,257,False,8.5,Very good,"1,798",3.0,False,"Chelsea, New York",2.5,9.5,1 extra-large double bed,Den King Room,True,False,True,1,1,2025-03-09
Wingate by Wyndham New York Midtown South/5th Ave,266,266,False,8.4,Very good,"2,388",3.0,False,"Manhattan, New York",1.9,9.5,1 large double bed,Queen Room - Non-Smoking,True,False,True,1,1,2025-03-09
SpringHill Suites by Marriott New York Manhattan Chelsea,243,243,False,8.4,Very good,"11,129",4.0,False,"Chelsea, New York",2.5,9.5,,Studio King Room,True,False,True,1,1,2025-03-09
Hampton Inn Manhattan/Downtown- Financial District,163,163,False,7.8,Good,645,3.0,False,"Manhattan, New York",7.7,,1 extra-large double bed,King Room - Non-Smoking,True,False,True,1,1,2025-03-09
Archer Hotel New York,343,343,False,8.8,Fabulous,"1,038",4.0,False,"Manhattan, New York",,9.5,1 large double bed,Classic Queen Guest Room With Tub,False,False,True,1,1,2025-03-09
Arlo SoHo,254,254,False,8.1,Very good,"2,078",4.0,False,"SoHo, New York",5.3,,1 large double bed,Urban Queen Courtyard,False,False,True,1,1,2025-03-09
