name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Renaissance New York Midtown Hotel,301,241,True,8.7,Fabulous,"1,600",4.0,False,"Manhattan, New York",2.0,9.3,1 extra-large double bed,Standard King Room,False,True,False,13,1,2025-02-03
Freehand New York,181,181,False,8.0,Very good,"2,235",4.0,False,"Gramercy, New York",3.1,,1 large double bed,Cozy Queen,False,False,True,13,1,2025-02-03
M Social Hotel Times Square New York,312,312,False,8.4,Very good,"11,798",4.0,False,"Manhattan, New York",0.6,9.6,1 extra-large double bed,Social City View King,False,True,False,13,1,2025-02-03
The Knickerbocker,398,398,False,8.6,Fabulous,"2,311",5.0,False,"Manhattan, New York",1.4,9.5,1 extra-large double bed,Superior Room with One King Bed,False,False,True,13,1,2025-02-03
Aura Hotel Times Square Newly Renovated,187,187,False,7.6,Good,447,4.0,False,"Manhattan, New York",1.3,9.3,1 single bed,Standard Full,False,True,True,13,1,2025-02-03
Hyatt House New York/Chelsea,207,207,False,8.4,Very good,"1,738",3.0,False,"Chelsea, New York",2.5,9.5,1 extra-large double bed,Den King Room,True,False,True,13,1,2025-02-03
Millennium Downtown New York,238,218,True,7.1,Good,"5,544",4.0,False,"Manhattan, New York",6.8,,1 extra-large double bed,RENOVATED Premier King - Hudson River View - High Floor,False,False,True,13,1,2025-02-03
Hotel 57 by LuxUrban,177,177,False,7.0,Good,"5,034",4.0,False,"Midtown East, New York",1.3,,1 double bed,Double Room - Non-Smoking,False,False,True,13,1,2025-02-03
The Chelsean New York,186,156,True,7.0,Good,"2,730",3.0,False,"Chelsea, New York",2.8,,1 extra-large double bed,King Room - Disability Access,False,True,True,13,1,2025-02-03
"Kimpton Hotel Eventi, an IHG Hotel",296,296,False,8.4,Very good,506,5.0,False,"Chelsea, New York",2.4,,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
The Ludlow Hotel,347,347,False,9.0,Superb,"1,151",4.0,False,"Lower East Side, New York",5.2,,1 large double bed,Queen Studio - High Floor,False,True,False,13,1,2025-02-03
