name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
UNTITLED at 3 Freeman Alley,242,242,False,8.4,Very good,566,4.0,False,"Lower East Side, New York",5.2,,1 large double bed,Studio Queen,True,False,True,1,1,2025-02-04
Aura Hotel Times Square Newly Renovated,187,166,True,7.6,Good,450,4.0,False,"Manhattan, New York",1.3,9.3,1 single bed,Standard Full,False,False,True,1,1,2025-02-04
Riu Plaza Manhattan Times Square,401,299,True,8.6,Fabulous,"13,255",4.0,False,"Manhattan, New York",1.0,9.6,1 extra-large double bed,Deluxe King,True,False,True,1,1,2025-02-04
Sonder at One Platt,273,273,False,8.1,Very good,"1,839",4.0,False,"Manhattan, New York",7.0,,,Deluxe One-Bedroom Apartment,False,False,True,1,1,2025-02-04
Tempo By Hilton New York Times Square,306,306,False,8.5,Very good,851,4.0,False,"Manhattan, New York",1.0,9.5,1 extra-large double bed,King Room,False,False,True,1,1,2025-02-04
"The New Yorker, A Wyndham Hotel",169,169,False,7.7,Good,"15,627",4.0,False,"Hell's Kitchen, New York",2.0,9.4,1 large double bed,Standard Queen Room,False,False,True,1,1,2025-02-04
NH Collection New York Madison Avenue,329,329,False,8.4,Very good,"1,970",4.0,False,"Murray Hill, New York",2.0,9.5,1 large double bed,Superior Room,False,False,True,1,1,2025-02-04
Pod Times Square,129,129,False,8.2,Very good,"23,096",3.0,False,"Hell's Kitchen, New York",1.4,9.4,2 single beds,Bunk Pod,False,False,True,1,1,2025-02-04
SpringHill Suites by Marriott New York Manhattan Chelsea,301,301,False,8.3,Very good,"10,960",4.0,False,"Chelsea, New York",2.5,9.4,,Studio King Room,True,False,True,1,1,2025-02-04
Hotel 57 by LuxUrban,241,181,True,7.0,Good,"5,040",4.0,False,"Midtown East, New York",1.3,,1 double bed,Double Room - Non-Smoking,False,False,True,1,1,2025-02-04
Arlo Midtown,233,233,False,8.6,Fabulous,"6,242",4.0,False,"Hell's Kitchen, New York",1.7,,1 extra-large double bed,King Room,False,False,True,1,1,2025-02-04
Residence Inn by Marriott New York Manhattan/Times Square,463,463,False,8.1,Very good,"6,944",4.0,False,"Manhattan, New York",1.7,9.6,"2 beds (1 sofa bed, 1 large double)",Queen Studio with Sofa Bed,True,False,True,1,1,2025-02-04
Hyatt Centric Times Square New York,324,324,False,8.4,Very good,"1,387",4.0,False,"Manhattan, New York",1.2,9.5,1 extra-large double bed,King Room with Accessible Shower - Disability Access,False,False,True,1,1,2025-02-04
Fairfield Inn by Marriott New York Manhattan/Financial District,163,163,False,7.8,Good,"3,624",3.0,False,"Manhattan, New York",7.2,,1 extra-large double bed,King Room,True,False,True,1,1,2025-02-04
Renaissance New York Times Square by Marriott,376,376,False,8.4,Very good,"2,171",4.0,False,"Manhattan, New York",1.0,9.6,2 double beds,Room with Two Double Beds - City View,False,False,True,1,1,2025-02-04
Element Times Square West,149,149,False,8.1,Very good,"7,520",4.0,False,"Hell's Kitchen, New York",1.6,,1 extra-large double bed,"Guest Room, 1 King",True,False,True,1,1,2025-02-04
LUMA Hotel - Times Square,319,319,False,8.9,Fabulous,"4,172",4.0,False,"Manhattan, New York",1.5,9.7,1 extra-large double bed,Park Plaza King Studio with Sofa Bed,False,False,True,1,1,2025-02-04
Hotel Edison Times Square,181,181,False,7.7,Good,"13,387",4.0,False,"Manhattan, New York",1.0,9.4,1 large double bed,Classic 1 Queen Bed,True,False,True,1,1,2025-02-04
New York Marriott Marquis,553,553,False,8.3,Very good,"3,048",5.0,False,"Manhattan, New York",1.1,9.5,2 double beds,Deluxe Double Room with Two Double Beds,False,False,True,1,1,2025-02-04
"Holiday Inn Express - Times Square South, an IHG Hotel",197,197,False,8.1,Very good,"2,979",3.0,False,"Manhattan, New York",2.0,9.5,1 extra-large double bed,Standard King Room,True,False,True,1,1,2025-02-04
citizenM New York Times Square,266,266,False,8.7,Fabulous,"3,997",4.0,False,"Manhattan, New York",0.8,9.6,1 extra-large double bed,King Room,False,False,True,1,1,2025-02-04
Doubletree By Hilton New York Times Square West,163,163,False,6.8,Review score,"11,258",4.0,False,"Hell's Kitchen, New York",1.6,,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-02-04
Sonder Battery Park,215,215,False,8.5,Very good,"2,447",3.0,True,"Manhattan, New York",7.5,,,Superior Studio,False,False,True,1,1,2025-02-04
Homewood Suites Midtown Manhattan Times Square South,229,229,False,8.3,Very good,"4,424",3.0,False,"Hell's Kitchen, New York",1.8,,1 extra-large double bed,Premium King Studio - Non-Smoking,True,False,True,1,1,2025-02-04
Hilton Club The Central at 5th New York,647,647,False,9.0,Superb,802,3.0,False,"Midtown East, New York",1.3,9.8,1 extra-large double bed,King Studio Plus,False,True,False,1,1,2025-02-04
The Belvedere Hotel,154,139,True,7.9,Good,"5,913",3.0,False,"Hell's Kitchen, New York",0.9,9.4,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-02-04
Riu Plaza New York Times Square,321,242,True,8.5,Very good,"7,241",4.0,False,"Hell's Kitchen, New York",1.0,9.5,2 double beds,Deluxe Double Room with Two Double Beds,True,False,True,1,1,2025-02-04
Cambria Hotel New York - Chelsea,174,174,False,7.9,Good,"3,999",4.0,False,"Chelsea, New York",2.5,,1 extra-large double bed,King Room - Non-Smoking,False,False,True,1,1,2025-02-04
Four Points by Sheraton New York Downtown,232,232,False,7.8,Good,"1,993",3.0,False,"Manhattan, New York",7.0,,2 double beds,"Guest room, 2 Double",False,True,False,1,1,2025-02-04
"Holiday Inn Express - Wall Street, an IHG Hotel",174,174,False,7.8,Good,"1,893",3.0,False,"Manhattan, New York",7.3,,1 extra-large double bed,Standard Room,False,False,True,1,1,2025-02-04
"Hotel Indigo NYC Financial District, an IHG Hotel",197,197,False,8.9,Fabulous,"1,548",3.0,False,"Manhattan, New York",7.2,9.5,1 extra-large double bed,Standard King Room,False,True,False,1,1,2025-02-04
Moderne Hotel,181,181,False,8.1,Very good,"1,012",4.0,False,"Manhattan, New York",,9.5,1 extra-large double bed,Deluxe Room,False,False,True,1,1,2025-02-04
DoubleTree by Hilton New York Downtown,174,174,False,7.5,Good,"3,941",4.0,False,"Manhattan, New York",7.6,,1 extra-large double bed,King Room,False,True,False,1,1,2025-02-04
Millennium Downtown New York,238,238,False,7.1,Good,"5,541",4.0,False,"Manhattan, New York",6.8,,1 extra-large double bed,Superior King Room,False,False,True,1,1,2025-02-04
The Ridge,150,150,False,7.6,Good,"1,307",3.0,False,"Lower East Side, New York",5.1,,1 double bed,Standard Double Room,False,False,True,1,1,2025-02-04
Hyatt Place New York City - Times Square,194,194,False,7.8,Good,"21,904",4.0,False,"Hell's Kitchen, New York",1.7,,2 double beds,Double Room with Two Double Beds - High Floor,True,False,True,1,1,2025-02-04
Fairfield Inn & Suites New York Manhattan/Downtown East,152,152,False,8.2,Very good,"1,186",3.0,False,"Chinatown, New York",6.2,,1 extra-large double bed,King Room,True,False,True,1,1,2025-02-04
Hilton Garden Inn New York Times Square South,212,212,False,8.2,Very good,"4,028",3.0,False,"Hell's Kitchen, New York",1.8,,1 extra-large double bed,King Room,False,True,False,1,1,2025-02-04
NoMo SoHo,289,289,False,7.7,Good,"1,413",4.0,False,"SoHo, New York",5.6,,1 large double bed,Nomo Urban Queen,False,False,True,1,1,2025-02-04
Pod 39,140,140,False,8.3,Very good,"12,820",3.0,False,"Murray Hill, New York",2.1,9.5,2 single beds,Twin Room,False,False,True,1,1,2025-02-04
The Blakely by LuxUrban,255,192,True,7.4,Good,"6,012",,,"Manhattan, New York",0.5,9.4,1 large double bed,Queen Room - Non-Smoking,False,False,True,1,1,2025-02-04
Ink 48 Hotel,208,193,True,7.5,Good,"2,560",4.0,False,"Hell's Kitchen, New York",1.2,,2 large double beds,Deluxe Queen Room with Two Queen Beds - Disability Access,False,False,True,1,1,2025-02-04
Sonder at The Nash,171,171,False,8.0,Very good,152,4.0,False,"Murray Hill, New York",2.3,9.3,,King Studio,False,False,True,1,1,2025-02-04
Freehand New York,210,210,False,8.0,Very good,"2,236",4.0,False,"Gramercy, New York",3.1,,"2 beds (1 bunk bed, 1 large double)",Three's Company,False,False,True,1,1,2025-02-04
Leon Hotel LES,164,164,False,8.0,Very good,"2,565",3.0,False,"Lower East Side, New York",5.9,,1 extra-large double bed,Deluxe King Room,False,False,True,1,1,2025-02-04
Park Central,209,209,False,7.3,Good,"7,467",4.0,False,"Manhattan, New York",,9.4,1 extra-large double bed,Classic King Room,False,False,True,1,1,2025-02-04
"voco Times Square South New York, an IHG Hotel",169,169,False,8.1,Very good,"3,809",4.0,False,"Hell's Kitchen, New York",1.8,,1 double bed,Standard Room with Full Bed and Tub - Mobility Accessible,False,False,True,1,1,2025-02-04
Sanctuary Hotel New York,230,211,True,8.2,Very good,"1,539",4.0,False,"Manhattan, New York",1.1,9.7,1 double bed,Cozy Queen,True,False,True,1,1,2025-02-04
CIVILIAN Hotel,209,199,True,8.6,Fabulous,"4,744",4.0,False,"Hell's Kitchen, New York",0.9,9.6,1 large double bed,Double Room,False,False,True,1,1,2025-02-04
