WeekDay,DayDiff,Class,Hotel_Index,Snapshot_Month,Snapshot_Day,Checkin_Month,Checkin_Day
5,20,2,11,7,17,8,6
4,26,2,11,7,17,8,12
5,27,2,11,7,17,8,13
4,33,2,11,7,17,8,19
5,34,2,11,7,17,8,20
4,5,2,12,7,17,7,22
6,14,2,12,7,17,7,31
7,15,2,12,7,17,8,1
5,20,2,12,7,17,8,6
6,21,2,12,7,17,8,7
7,22,2,13,7,17,8,8
1,23,2,13,7,17,8,9
4,5,2,86,7,17,7,22
6,21,2,86,7,17,8,7
4,12,2,14,7,17,7,29
4,26,2,87,7,17,8,12
7,29,2,87,7,17,8,15
4,33,2,87,7,17,8,19
7,8,2,15,7,17,7,25
5,6,2,17,7,17,7,23
7,8,2,17,7,17,7,25
4,5,2,19,7,17,7,22
5,6,2,19,7,17,7,23
7,1,2,20,7,17,7,18
3,4,2,20,7,17,7,21
4,5,2,20,7,17,7,22
3,11,2,20,7,17,7,28
4,12,2,20,7,17,7,29
5,13,2,20,7,17,7,30
3,25,2,20,7,17,8,11
4,26,2,20,7,17,8,12
5,27,2,20,7,17,8,13
3,32,2,20,7,17,8,18
4,33,2,20,7,17,8,19
5,34,2,20,7,17,8,20
4,5,2,22,7,17,7,22
5,6,2,22,7,17,7,23
6,21,2,22,7,17,8,7
3,25,2,22,7,17,8,11
4,26,2,22,7,17,8,12
5,27,2,22,7,17,8,13
4,33,2,22,7,17,8,19
5,34,2,22,7,17,8,20
7,1,2,24,7,17,7,18
3,4,2,24,7,17,7,21
4,5,2,24,7,17,7,22
3,11,2,24,7,17,7,28
1,2,2,25,7,17,7,19
2,3,2,25,7,17,7,20
1,2,2,88,7,17,7,19
2,3,2,88,7,17,7,20
7,1,2,29,7,17,7,18
6,21,2,29,7,17,8,7
7,1,2,30,7,17,7,18
4,12,2,32,7,17,7,29
3,18,2,32,7,17,8,4
4,19,2,32,7,17,8,5
3,25,2,32,7,17,8,11
4,26,2,32,7,17,8,12
7,1,2,89,7,17,7,18
5,6,2,33,7,17,7,23
7,8,2,33,7,17,7,25
1,9,2,33,7,17,7,26
6,28,2,33,7,17,8,14
1,23,2,34,7,17,8,9
5,27,2,34,7,17,8,13
6,28,2,34,7,17,8,14
7,29,2,34,7,17,8,15
3,32,2,34,7,17,8,18
4,33,2,34,7,17,8,19
5,34,2,34,7,17,8,20
5,13,2,35,7,17,7,30
6,28,2,90,7,17,8,14
7,29,2,90,7,17,8,15
3,11,2,36,7,17,7,28
3,18,2,36,7,17,8,4
5,20,2,37,7,17,8,6
4,12,2,91,7,17,7,29
4,26,2,91,7,17,8,12
5,34,2,91,7,17,8,20
1,9,2,38,7,17,7,26
4,12,2,38,7,17,7,29
4,26,2,38,7,17,8,12
4,33,2,38,7,17,8,19
7,15,2,39,7,17,8,1
4,19,2,39,7,17,8,5
5,20,2,39,7,17,8,6
7,29,2,39,7,17,8,15
1,30,2,39,7,17,8,16
5,34,2,39,7,17,8,20
1,23,2,40,7,17,8,9
1,30,2,40,7,17,8,16
3,32,2,40,7,17,8,18
4,33,2,40,7,17,8,19
7,29,2,41,7,17,8,15
1,2,2,42,7,17,7,19
2,31,2,42,7,17,8,17
6,21,2,43,7,17,8,7
7,22,2,43,7,17,8,8
1,23,2,43,7,17,8,9
2,24,2,43,7,17,8,10
3,25,2,43,7,17,8,11
6,28,2,43,7,17,8,14
7,29,2,43,7,17,8,15
4,12,2,45,7,17,7,29
3,25,2,45,7,17,8,11
4,26,2,45,7,17,8,12
3,32,2,45,7,17,8,18
4,33,2,45,7,17,8,19
6,14,2,46,7,17,7,31
5,27,2,46,7,17,8,13
7,15,2,47,7,17,8,1
2,17,2,47,7,17,8,3
3,18,2,47,7,17,8,4
4,19,2,47,7,17,8,5
3,25,2,47,7,17,8,11
4,26,2,47,7,17,8,12
6,28,2,47,7,17,8,14
7,29,2,47,7,17,8,15
3,32,2,47,7,17,8,18
4,33,2,47,7,17,8,19
4,5,2,49,7,17,7,22
4,19,2,49,7,17,8,5
5,27,2,49,7,17,8,13
4,33,2,49,7,17,8,19
1,23,2,50,7,17,8,9
5,34,2,50,7,17,8,20
7,8,2,51,7,17,7,25
1,30,2,51,7,17,8,16
7,8,2,52,7,17,7,25
1,23,2,92,7,17,8,9
5,20,2,53,7,17,8,6
5,6,2,54,7,17,7,23
4,12,2,55,7,17,7,29
5,13,2,55,7,17,7,30
1,9,2,56,7,17,7,26
2,10,2,56,7,17,7,27
3,11,2,56,7,17,7,28
1,16,2,56,7,17,8,2
2,17,2,56,7,17,8,3
3,18,2,56,7,17,8,4
4,19,2,56,7,17,8,5
1,23,2,56,7,17,8,9
4,26,2,56,7,17,8,12
7,29,2,56,7,17,8,15
3,32,2,56,7,17,8,18
5,13,2,57,7,17,7,30
6,14,2,57,7,17,7,31
6,21,2,57,7,17,8,7
7,22,2,57,7,17,8,8
2,24,2,58,7,17,8,10
5,27,2,58,7,17,8,13
4,12,2,60,7,17,7,29
5,13,2,60,7,17,7,30
3,18,2,60,7,17,8,4
4,26,2,60,7,17,8,12
6,21,2,61,7,17,8,7
7,22,2,61,7,17,8,8
4,26,2,61,7,17,8,12
6,28,2,61,7,17,8,14
7,29,2,61,7,17,8,15
3,32,2,61,7,17,8,18
4,33,2,61,7,17,8,19
5,13,2,62,7,17,7,30
4,5,2,63,7,17,7,22
5,6,2,93,7,17,7,23
5,27,2,93,7,17,8,13
7,15,2,94,7,17,8,1
2,10,2,67,7,17,7,27
3,11,2,67,7,17,7,28
4,12,2,67,7,17,7,29
6,14,2,67,7,17,7,31
7,15,2,67,7,17,8,1
2,24,2,67,7,17,8,10
3,25,2,67,7,17,8,11
5,27,2,95,7,17,8,13
6,28,2,95,7,17,8,14
5,20,2,68,7,17,8,6
6,21,2,68,7,17,8,7
5,27,2,68,7,17,8,13
6,28,2,68,7,17,8,14
5,34,2,68,7,17,8,20
3,18,2,69,7,17,8,4
4,19,2,69,7,17,8,5
3,25,2,69,7,17,8,11
4,26,2,69,7,17,8,12
3,32,2,69,7,17,8,18
4,33,2,69,7,17,8,19
4,33,2,70,7,17,8,19
5,6,2,71,7,17,7,23
6,7,2,71,7,17,7,24
5,13,2,71,7,17,7,30
6,14,2,71,7,17,7,31
5,20,2,71,7,17,8,6
6,21,2,71,7,17,8,7
5,27,2,71,7,17,8,13
6,28,2,71,7,17,8,14
5,6,2,72,7,17,7,23
4,12,2,72,7,17,7,29
6,14,2,72,7,17,7,31
6,21,2,72,7,17,8,7
6,7,2,73,7,17,7,24
7,8,2,73,7,17,7,25
7,15,2,73,7,17,8,1
6,21,2,73,7,17,8,7
7,22,2,73,7,17,8,8
6,28,2,73,7,17,8,14
7,29,2,73,7,17,8,15
3,18,2,74,7,17,8,4
5,27,2,74,7,17,8,13
7,8,2,75,7,17,7,25
1,9,2,75,7,17,7,26
2,10,2,75,7,17,7,27
1,16,2,75,7,17,8,2
5,20,2,75,7,17,8,6
7,22,2,75,7,17,8,8
1,23,2,75,7,17,8,9
7,29,2,75,7,17,8,15
1,30,2,75,7,17,8,16
4,33,2,75,7,17,8,19
6,7,2,76,7,17,7,24
7,8,2,76,7,17,7,25
6,21,2,76,7,17,8,7
7,22,2,76,7,17,8,8
4,26,2,76,7,17,8,12
6,28,2,76,7,17,8,14
7,29,2,76,7,17,8,15
3,32,2,76,7,17,8,18
4,33,2,76,7,17,8,19
3,32,2,78,7,17,8,18
4,33,2,78,7,17,8,19
2,31,2,96,7,17,8,17
3,32,2,79,7,17,8,18
4,33,2,79,7,17,8,19
3,18,2,81,7,17,8,4
7,22,2,81,7,17,8,8
4,26,2,81,7,17,8,12
6,28,2,81,7,17,8,14
4,33,2,81,7,17,8,19
6,28,2,82,7,17,8,14
7,29,2,82,7,17,8,15
7,8,2,83,7,17,7,25
4,12,2,83,7,17,7,29
6,14,2,83,7,17,7,31
7,15,2,83,7,17,8,1
1,16,2,83,7,17,8,2
2,17,2,83,7,17,8,3
3,18,2,83,7,17,8,4
1,23,2,83,7,17,8,9
4,26,2,83,7,17,8,12
4,33,2,83,7,17,8,19
1,9,2,84,7,17,7,26
6,28,2,97,7,17,8,14
2,31,2,98,7,17,8,17
4,33,2,85,7,17,8,19
5,34,2,85,7,17,8,20
6,28,3,0,7,17,8,14
7,29,3,0,7,17,8,15
4,5,3,1,7,17,7,22
4,12,3,1,7,17,7,29
4,19,3,1,7,17,8,5
2,24,3,1,7,17,8,10
3,25,3,1,7,17,8,11
4,26,3,1,7,17,8,12
4,33,3,1,7,17,8,19
4,26,3,2,7,17,8,12
5,27,3,3,7,17,8,13
5,13,3,5,7,17,7,30
3,25,3,5,7,17,8,11
7,1,3,7,7,17,7,18
1,2,3,7,7,17,7,19
3,4,3,7,7,17,7,21
4,5,3,7,7,17,7,22
5,6,3,7,7,17,7,23
6,7,3,7,7,17,7,24
7,8,3,7,7,17,7,25
1,9,3,7,7,17,7,26
6,14,3,7,7,17,7,31
7,15,3,7,7,17,8,1
1,16,3,7,7,17,8,2
2,17,3,7,7,17,8,3
3,18,3,7,7,17,8,4
4,19,3,7,7,17,8,5
5,20,3,7,7,17,8,6
6,21,3,7,7,17,8,7
7,22,3,7,7,17,8,8
1,23,3,7,7,17,8,9
5,27,3,7,7,17,8,13
4,33,3,7,7,17,8,19
5,34,3,7,7,17,8,20
6,7,3,8,7,17,7,24
7,8,3,8,7,17,7,25
2,10,3,8,7,17,7,27
1,16,3,8,7,17,8,2
2,17,3,8,7,17,8,3
3,18,3,8,7,17,8,4
2,24,3,8,7,17,8,10
3,25,3,8,7,17,8,11
4,33,3,9,7,17,8,19
5,6,3,10,7,17,7,23
3,11,3,10,7,17,7,28
4,12,3,10,7,17,7,29
5,13,3,10,7,17,7,30
6,14,3,10,7,17,7,31
3,18,3,10,7,17,8,4
4,19,3,10,7,17,8,5
6,21,3,10,7,17,8,7
3,25,3,10,7,17,8,11
4,26,3,10,7,17,8,12
3,11,3,11,7,17,7,28
4,12,3,11,7,17,7,29
3,18,3,11,7,17,8,4
4,19,3,11,7,17,8,5
3,25,3,11,7,17,8,11
4,26,3,11,7,17,8,12
3,32,3,11,7,17,8,18
4,33,3,11,7,17,8,19
2,17,3,12,7,17,8,3
5,20,3,12,7,17,8,6
6,14,3,13,7,17,7,31
7,22,3,13,7,17,8,8
6,28,3,13,7,17,8,14
3,4,3,86,7,17,7,21
5,13,3,86,7,17,7,30
4,26,3,86,7,17,8,12
4,26,3,87,7,17,8,12
6,28,3,87,7,17,8,14
4,33,3,87,7,17,8,19
3,11,3,15,7,17,7,28
4,12,3,15,7,17,7,29
5,34,3,16,7,17,8,20
5,6,3,18,7,17,7,23
4,19,3,18,7,17,8,5
5,20,3,18,7,17,8,6
4,26,3,18,7,17,8,12
4,33,3,18,7,17,8,19
2,3,3,20,7,17,7,20
3,4,3,20,7,17,7,21
4,5,3,20,7,17,7,22
5,6,3,20,7,17,7,23
2,10,3,20,7,17,7,27
3,11,3,20,7,17,7,28
4,12,3,20,7,17,7,29
5,13,3,20,7,17,7,30
2,24,3,20,7,17,8,10
3,25,3,20,7,17,8,11
4,26,3,20,7,17,8,12
5,27,3,20,7,17,8,13
2,31,3,20,7,17,8,17
3,32,3,20,7,17,8,18
4,33,3,20,7,17,8,19
5,34,3,20,7,17,8,20
3,4,3,22,7,17,7,21
4,5,3,22,7,17,7,22
5,6,3,22,7,17,7,23
3,18,3,22,7,17,8,4
4,19,3,22,7,17,8,5
3,25,3,22,7,17,8,11
4,26,3,22,7,17,8,12
3,32,3,22,7,17,8,18
4,33,3,22,7,17,8,19
2,3,3,24,7,17,7,20
3,4,3,24,7,17,7,21
4,5,3,24,7,17,7,22
1,2,3,25,7,17,7,19
2,3,3,25,7,17,7,20
2,17,3,25,7,17,8,3
3,18,3,25,7,17,8,4
1,2,3,88,7,17,7,19
2,3,3,88,7,17,7,20
3,4,3,88,7,17,7,21
5,20,3,29,7,17,8,6
7,1,3,30,7,17,7,18
2,3,3,32,7,17,7,20
4,12,3,32,7,17,7,29
2,17,3,32,7,17,8,3
3,18,3,32,7,17,8,4
4,19,3,32,7,17,8,5
5,20,3,32,7,17,8,6
2,24,3,32,7,17,8,10
3,25,3,32,7,17,8,11
4,26,3,32,7,17,8,12
2,31,3,32,7,17,8,17
5,6,3,33,7,17,7,23
1,9,3,33,7,17,7,26
4,26,3,34,7,17,8,12
5,27,3,34,7,17,8,13
6,28,3,34,7,17,8,14
2,31,3,34,7,17,8,17
3,32,3,34,7,17,8,18
4,33,3,34,7,17,8,19
5,34,3,34,7,17,8,20
4,26,3,35,7,17,8,12
6,28,3,90,7,17,8,14
7,29,3,90,7,17,8,15
5,13,3,36,7,17,7,30
5,20,3,36,7,17,8,6
5,13,3,37,7,17,7,30
7,22,3,37,7,17,8,8
4,12,3,91,7,17,7,29
7,8,3,38,7,17,7,25
4,12,3,38,7,17,7,29
4,26,3,38,7,17,8,12
4,33,3,38,7,17,8,19
1,16,3,39,7,17,8,2
4,19,3,39,7,17,8,5
5,20,3,39,7,17,8,6
1,23,3,40,7,17,8,9
7,29,3,40,7,17,8,15
1,30,3,40,7,17,8,16
4,33,3,40,7,17,8,19
1,23,3,41,7,17,8,9
6,28,3,41,7,17,8,14
7,29,3,41,7,17,8,15
4,26,3,42,7,17,8,12
2,31,3,42,7,17,8,17
3,32,3,42,7,17,8,18
2,10,3,43,7,17,7,27
6,21,3,43,7,17,8,7
7,22,3,43,7,17,8,8
2,24,3,43,7,17,8,10
3,25,3,43,7,17,8,11
6,28,3,43,7,17,8,14
7,29,3,43,7,17,8,15
6,7,3,44,7,17,7,24
3,11,3,45,7,17,7,28
2,24,3,45,7,17,8,10
3,25,3,45,7,17,8,11
4,26,3,45,7,17,8,12
2,31,3,45,7,17,8,17
3,32,3,45,7,17,8,18
4,33,3,45,7,17,8,19
4,12,3,46,7,17,7,29
2,17,3,46,7,17,8,3
3,25,3,46,7,17,8,11
5,27,3,46,7,17,8,13
4,33,3,46,7,17,8,19
6,14,3,47,7,17,7,31
7,15,3,47,7,17,8,1
1,16,3,47,7,17,8,2
4,19,3,47,7,17,8,5
2,24,3,47,7,17,8,10
3,25,3,47,7,17,8,11
4,26,3,47,7,17,8,12
6,28,3,47,7,17,8,14
7,29,3,47,7,17,8,15
2,31,3,47,7,17,8,17
3,32,3,47,7,17,8,18
4,33,3,47,7,17,8,19
2,10,3,48,7,17,7,27
6,14,3,99,7,17,7,31
5,20,3,99,7,17,8,6
6,21,3,99,7,17,8,7
5,27,3,99,7,17,8,13
6,28,3,99,7,17,8,14
5,34,3,99,7,17,8,20
4,19,3,49,7,17,8,5
1,23,3,50,7,17,8,9
2,24,3,50,7,17,8,10
4,33,3,50,7,17,8,19
7,8,3,51,7,17,7,25
6,14,3,100,7,17,7,31
4,19,3,52,7,17,8,5
4,26,3,52,7,17,8,12
4,33,3,52,7,17,8,19
2,3,3,92,7,17,7,20
2,24,3,92,7,17,8,10
2,10,3,53,7,17,7,27
3,18,3,53,7,17,8,4
5,20,3,53,7,17,8,6
3,32,3,53,7,17,8,18
5,6,3,54,7,17,7,23
6,7,3,54,7,17,7,24
6,21,3,54,7,17,8,7
5,13,3,55,7,17,7,30
1,9,3,56,7,17,7,26
2,10,3,56,7,17,7,27
3,11,3,56,7,17,7,28
7,15,3,56,7,17,8,1
1,16,3,56,7,17,8,2
2,17,3,56,7,17,8,3
3,18,3,56,7,17,8,4
1,23,3,56,7,17,8,9
2,24,3,56,7,17,8,10
2,31,3,56,7,17,8,17
3,32,3,56,7,17,8,18
6,21,3,57,7,17,8,7
7,22,3,57,7,17,8,8
4,12,3,60,7,17,7,29
4,26,3,60,7,17,8,12
6,21,3,61,7,17,8,7
4,26,3,61,7,17,8,12
5,27,3,61,7,17,8,13
6,28,3,61,7,17,8,14
3,32,3,61,7,17,8,18
4,33,3,61,7,17,8,19
5,34,3,61,7,17,8,20
5,13,3,62,7,17,7,30
3,18,3,62,7,17,8,4
4,26,3,62,7,17,8,12
4,5,3,63,7,17,7,22
3,32,3,63,7,17,8,18
5,6,3,65,7,17,7,23
2,31,3,65,7,17,8,17
2,10,3,67,7,17,7,27
3,11,3,67,7,17,7,28
5,13,3,67,7,17,7,30
6,14,3,67,7,17,7,31
2,24,3,67,7,17,8,10
5,27,3,95,7,17,8,13
6,28,3,95,7,17,8,14
5,20,3,69,7,17,8,6
6,21,3,69,7,17,8,7
5,27,3,69,7,17,8,13
6,28,3,69,7,17,8,14
5,34,3,69,7,17,8,20
2,10,3,70,7,17,7,27
4,5,3,72,7,17,7,22
6,14,3,72,7,17,7,31
3,18,3,74,7,17,8,4
5,27,3,74,7,17,8,13
7,8,3,75,7,17,7,25
1,9,3,75,7,17,7,26
2,10,3,75,7,17,7,27
6,14,3,75,7,17,7,31
5,20,3,75,7,17,8,6
7,22,3,75,7,17,8,8
2,24,3,75,7,17,8,10
4,26,3,75,7,17,8,12
1,30,3,75,7,17,8,16
6,7,3,76,7,17,7,24
6,21,3,76,7,17,8,7
7,22,3,76,7,17,8,8
3,25,3,76,7,17,8,11
4,26,3,76,7,17,8,12
6,28,3,76,7,17,8,14
7,29,3,76,7,17,8,15
3,32,3,76,7,17,8,18
4,33,3,76,7,17,8,19
3,32,3,78,7,17,8,18
4,33,3,78,7,17,8,19
2,17,3,81,7,17,8,3
3,18,3,81,7,17,8,4
4,26,3,81,7,17,8,12
5,27,3,81,7,17,8,13
6,28,3,81,7,17,8,14
3,32,3,81,7,17,8,18
6,7,3,83,7,17,7,24
6,14,3,83,7,17,7,31
7,15,3,83,7,17,8,1
2,17,3,83,7,17,8,3
3,18,3,83,7,17,8,4
3,25,3,83,7,17,8,11
4,26,3,83,7,17,8,12
6,28,3,83,7,17,8,14
3,32,3,83,7,17,8,18
4,33,3,83,7,17,8,19
1,9,3,84,7,17,7,26
6,28,3,97,7,17,8,14
1,23,3,98,7,17,8,9
1,30,3,98,7,17,8,16
