Hotel Name,2015-11-11 - 1,2015-11-11 - 2,2015-11-11 - 3,2015-11-11 - 4,2015-10-14 - 1,2015-10-14 - 2,2015-10-14 - 3,2015-10-14 - 4,2015-11-04 - 1,2015-11-04 - 2,2015-11-04 - 3,2015-11-04 - 4,2015-08-19 - 1,2015-08-19 - 2,2015-08-19 - 3,2015-08-19 - 4,2015-10-28 - 1,2015-10-28 - 2,2015-10-28 - 3,2015-10-28 - 4,2015-10-21 - 1,2015-10-21 - 2,2015-10-21 - 3,2015-10-21 - 4,2015-11-06 - 1,2015-11-06 - 2,2015-11-06 - 3,2015-11-06 - 4,2015-08-12 - 1,2015-08-12 - 2,2015-08-12 - 3,2015-08-12 - 4,2015-11-05 - 1,2015-11-05 - 2,2015-11-05 - 3,2015-11-05 - 4,2015-10-22 - 1,2015-10-22 - 2,2015-10-22 - 3,2015-10-22 - 4,2015-11-12 - 1,2015-11-12 - 2,2015-11-12 - 3,2015-11-12 - 4,2015-10-29 - 1,2015-10-29 - 2,2015-10-29 - 3,2015-10-29 - 4,2015-09-10 - 1,2015-09-10 - 2,2015-09-10 - 3,2015-09-10 - 4,2015-09-09 - 1,2015-09-09 - 2,2015-09-09 - 3,2015-09-09 - 4,2015-11-18 - 1,2015-11-18 - 2,2015-11-18 - 3,2015-11-18 - 4,2015-08-26 - 1,2015-08-26 - 2,2015-08-26 - 3,2015-08-26 - 4,2015-11-10 - 1,2015-11-10 - 2,2015-11-10 - 3,2015-11-10 - 4,2015-11-13 - 1,2015-11-13 - 2,2015-11-13 - 3,2015-11-13 - 4,2015-10-15 - 1,2015-10-15 - 2,2015-10-15 - 3,2015-10-15 - 4,2015-11-21 - 1,2015-11-21 - 2,2015-11-21 - 3,2015-11-21 - 4,2015-09-30 - 1,2015-09-30 - 2,2015-09-30 - 3,2015-09-30 - 4,2015-10-30 - 1,2015-10-30 - 2,2015-10-30 - 3,2015-10-30 - 4,2015-09-16 - 1,2015-09-16 - 2,2015-09-16 - 3,2015-09-16 - 4,2015-09-17 - 1,2015-09-17 - 2,2015-09-17 - 3,2015-09-17 - 4,2015-11-28 - 1,2015-11-28 - 2,2015-11-28 - 3,2015-11-28 - 4,2015-10-01 - 1,2015-10-01 - 2,2015-10-01 - 3,2015-10-01 - 4,2015-11-26 - 1,2015-11-26 - 2,2015-11-26 - 3,2015-11-26 - 4,2015-09-11 - 1,2015-09-11 - 2,2015-09-11 - 3,2015-09-11 - 4,2015-09-18 - 1,2015-09-18 - 2,2015-09-18 - 3,2015-09-18 - 4,2015-10-16 - 1,2015-10-16 - 2,2015-10-16 - 3,2015-10-16 - 4,2015-11-27 - 1,2015-11-27 - 2,2015-11-27 - 3,2015-11-27 - 4,2015-10-02 - 1,2015-10-02 - 2,2015-10-02 - 3,2015-10-02 - 4,2015-10-07 - 1,2015-10-07 - 2,2015-10-07 - 3,2015-10-07 - 4,2015-11-07 - 1,2015-11-07 - 2,2015-11-07 - 3,2015-11-07 - 4,2015-08-28 - 1,2015-08-28 - 2,2015-08-28 - 3,2015-08-28 - 4,2015-08-27 - 1,2015-08-27 - 2,2015-08-27 - 3,2015-08-27 - 4,2015-10-27 - 1,2015-10-27 - 2,2015-10-27 - 3,2015-10-27 - 4,2015-11-03 - 1,2015-11-03 - 2,2015-11-03 - 3,2015-11-03 - 4,2015-08-13 - 1,2015-08-13 - 2,2015-08-13 - 3,2015-08-13 - 4,2015-11-25 - 1,2015-11-25 - 2,2015-11-25 - 3,2015-11-25 - 4
NOMO SOHO,75,63,65,-1,79,86,92,-1,-1,-1,-1,-1,9,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,59,65,-1,-1,-1,-1,-1,78,53,51,-1,-1,-1,-1,52,57,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,93,100,-1,-1,41,-1,-1,-1,-1,-1,-1,89,94,82,-1,-1,-1,-1,50,-1,86,80,75,11,-1,-1,-1,-1,90,97,-1,-1,-1,-1,-1,81,91,98,-1,-1,-1,-1,-1,-1,-1,51,43,66,72,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,66,-1,-1,-1,-1,78,71,85,-1,-1,7,4,0,-1,-1,-1,-1,-1,-1,-1,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
New York Hilton Midtown,-1,41,45,-1,-1,58,64,69,-1,41,38,-1,-1,29,48,32,-1,-1,-1,-1,73,73,75,74,41,26,24,-1,-1,-1,46,47,37,32,-1,26,-1,-1,-1,72,-1,-1,52,27,-1,45,43,-1,-1,48,-1,-1,-1,-1,95,-1,-1,-1,64,83,-1,35,31,-1,-1,-1,44,-1,-1,-1,-1,-1,-1,53,45,-1,49,34,21,7,-1,-1,87,-1,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,55,-1,0,52,67,-1,98,-1,-1,-1,86,86,76,-1,-1,-1,75,-1,-1,-1,-1,-1,60,-1,53,-1,-1,-1,95,95,-1,-1,-1,-1,30,30,-1,36,36,30,-1,-1,-1,-1,-1,-1,-1,76,55,-1,-1,-1,36,-1,2,5,9,47
New York Marriott Downtown,-1,29,32,-1,62,67,71,-1,-1,50,53,-1,-1,-1,-1,-1,-1,51,55,-1,49,55,59,-1,28,44,40,-1,-1,-1,-1,-1,44,42,38,34,-1,40,37,33,-1,25,22,18,46,48,44,40,-1,30,-1,82,-1,21,24,-1,-1,13,17,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,38,-1,-1,69,64,59,-1,-1,-1,-1,100,-1,73,-1,71,60,55,-1,-1,-1,89,-1,-1,79,-1,-1,-1,-1,-1,-1,-1,74,69,64,-1,-1,4,1,-1,-1,-1,-1,88,-1,-1,-1,-1,82,77,-1,-1,-1,45,-1,-1,87,82,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,69,-1,-1,71,77,-1,-1,-1,-1,-1,-1,-1,-1,-1
New York Marriott East Side,-1,50,-1,-1,-1,64,-1,-1,28,40,-1,-1,9,18,-1,-1,55,67,69,-1,-1,81,-1,-1,-1,67,59,-1,-1,17,-1,-1,-1,33,38,30,-1,51,-1,-1,-1,25,-1,-1,-1,89,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,0,7,-1,-1,-1,-1,80,-1,-1,50,53,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,92,-1,-1,-1,89,-1,-1,-1,-1,-1,-1,-1,19,-1,5,-1,67,-1,-1,-1,44,62,-1,-1,19,-1,-1,-1,-1,-1,-1
New York Marriott at the Brooklyn Bridge,3,-1,-1,-1,-1,-1,95,-1,18,-1,43,-1,-1,-1,17,-1,36,-1,39,-1,-1,-1,-1,-1,-1,23,-1,-1,12,-1,9,-1,-1,25,23,12,-1,63,61,-1,-1,-1,-1,3,-1,29,27,24,-1,32,32,36,42,50,36,-1,0,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,90,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,25,-1,-1,-1,66,-1,-1,54,72,-1,-1,-1,-1,-1,-1,87,85,94,-1,27,-1,-1,-1,-1,50,-1,-1,86,-1,-1,-1,98,-1,-1,-1,-1,-1,-1,-1,84,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,-1,-1,43,-1,-1,-1,-1,-1,-1,-1,4,9,9,-1,-1,-1,-1
Newark Liberty International Airport Marriott,18,28,42,-1,13,21,36,-1,12,22,36,-1,6,18,36,-1,11,20,36,-1,17,27,41,-1,87,70,-1,-1,12,23,39,-1,-1,49,17,12,-1,50,18,12,-1,52,23,15,-1,48,16,11,-1,65,18,9,2,12,22,-1,17,34,50,-1,0,10,20,-1,-1,29,39,53,84,65,-1,-1,-1,60,20,14,-1,-1,-1,-1,17,29,42,-1,84,68,-1,-1,28,43,52,-1,-1,64,36,22,75,67,-1,-1,-1,58,27,17,78,55,23,10,84,68,-1,-1,78,68,61,-1,100,93,-1,-1,77,59,-1,-1,86,70,-1,-1,30,39,51,-1,86,75,-1,-1,-1,55,-1,-1,-1,46,10,0,-1,25,35,51,-1,22,31,46,-1,52,19,12,-1,-1,-1,-1
Omni Berkshire Place,46,41,50,58,-1,50,52,48,45,-1,33,35,6,6,13,18,-1,-1,-1,-1,-1,-1,-1,-1,59,50,44,40,17,13,17,22,56,35,43,37,-1,-1,-1,-1,-1,57,-1,-1,36,33,35,-1,60,52,48,52,-1,72,92,100,-1,-1,-1,26,0,3,15,14,78,-1,50,61,53,45,-1,40,-1,41,-1,-1,-1,16,15,10,78,-1,-1,-1,-1,-1,-1,-1,-1,73,79,80,-1,-1,-1,-1,85,-1,-1,67,-1,-1,43,39,-1,4,5,31,61,56,52,-1,52,44,39,62,-1,55,-1,-1,55,47,56,53,52,48,45,-1,-1,-1,-1,-1,70,50,49,-1,8,6,11,48,8,5,3,0,-1,-1,-1,-1,-1,-1,-1,-1,13,15,23,27,-1,19,5,-1
Park Hyatt New York,-1,62,64,66,-1,-1,-1,-1,-1,62,64,66,29,-1,9,18,-1,-1,-1,-1,-1,42,44,-1,-1,-1,-1,-1,0,9,9,18,61,62,64,-1,40,42,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,62,64,61,-1,-1,-1,-1,-1,-1,64,66,-1,-1,-1,-1,-1,-1,-1,-1,16,14,48,-1,100,61,63,-1,-1,-1,-1,-1,73,-1,-1,-1,-1,-1,71,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,64,-1,-1,-1,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,2,1,0,-1,-1,-1,-1
Quality Inn Convention Center,-1,-1,-1,-1,-1,89,75,-1,-1,-1,-1,-1,26,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,30,30,18,64,67,32,64,-1,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,78,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,76,84,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,73,-1,-1,-1,-1,65,76,71,-1,-1,59,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,-1,-1,-1,-1,-1,-1,0,2,14,-1,-1,-1,-1,-1,34,44,34,19,-1,-1,66,66,-1,-1,-1,-1
Quality Inn Woodside,-1,21,22,-1,-1,100,88,79,-1,30,14,-1,-1,22,16,-1,-1,-1,-1,-1,74,79,91,-1,6,10,15,-1,-1,-1,-1,-1,23,9,15,-1,68,77,100,-1,18,22,28,-1,-1,42,42,-1,-1,-1,49,-1,-1,-1,-1,-1,-1,9,8,-1,-1,38,-1,-1,-1,26,20,16,-1,23,21,18,-1,90,78,-1,-1,7,3,0,-1,-1,-1,-1,-1,35,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,100,-1,18,22,28,-1,-1,42,49,-1,-1,-1,-1,-1,-1,81,100,-1,-1,-1,-1,-1,-1,-1,63,79,-1,71,-1,-1,-1,14,9,6,-1,36,36,-1,-1,-1,40,36,-1,40,-1,-1,-1,39,33,-1,-1,49,41,48,-1,21,28,-1
